1.00E-05	0.00E+00
1.94E-05	1.34E-07
3.50E-05	1.57E-07
2.05E-04	1.70E-07
2.56E-04	2.27E-07
6.66E-04	2.75E-07
7.17E-04	3.23E-07
1.12E-03	1.27E-07
1.20E-03	1.99E-07
2.01E-03	2.05E-07
3.13E-03	1.53E-07
3.37E-03	4.01E-07
4.52E-03	2.60E-07
4.87E-03	1.75E-07
7.57E-03	5.26E-07
9.44E-03	3.68E-07
1.09E-02	2.75E-07
1.18E-02	1.99E-07
1.36E-02	7.08E-07
1.47E-02	5.85E-07
1.70E-02	1.96E-07
1.83E-02	6.70E-08
1.97E-02	2.33E-07
2.12E-02	5.02E-07
2.29E-02	1.74E-07
2.46E-02	1.97E-07
2.65E-02	3.91E-07
3.07E-02	1.45E-07
3.30E-02	6.30E-07
3.56E-02	4.66E-07
3.83E-02	3.38E-07
4.12E-02	6.76E-07
4.43E-02	4.88E-07
4.77E-02	4.52E-07
5.14E-02	4.20E-07
5.53E-02	1.17E-06
6.41E-02	1.87E-06
6.90E-02	9.27E-07
7.43E-02	1.62E-07
7.99E-02	1.23E-06
8.60E-02	1.10E-06
9.26E-02	1.93E-06
9.97E-02	2.29E-06
1.07E-01	4.85E-07
1.16E-01	1.30E-06
1.24E-01	2.01E-06
1.34E-01	2.75E-06
1.44E-01	3.28E-06
1.55E-01	3.46E-06
1.67E-01	2.21E-06
1.80E-01	4.11E-06
1.93E-01	2.87E-06
2.08E-01	4.02E-06
2.24E-01	3.93E-06
2.41E-01	6.30E-06
2.60E-01	7.76E-06
2.80E-01	5.63E-06
3.01E-01	4.58E-06
3.24E-01	7.00E-06
3.49E-01	8.97E-06
3.75E-01	1.11E-05
4.04E-01	6.64E-06
4.35E-01	8.16E-06
4.68E-01	1.01E-05
5.04E-01	9.97E-06
5.43E-01	1.25E-05
5.84E-01	1.44E-05
6.29E-01	1.28E-05
6.77E-01	1.09E-05
7.29E-01	1.27E-05
7.84E-01	1.31E-05
8.44E-01	1.46E-05
9.09E-01	1.14E-05
9.78E-01	1.29E-05
1.05E+00	1.20E-05
1.13E+00	1.76E-05
1.22E+00	1.21E-05
1.31E+00	1.26E-05
1.41E+00	1.31E-05
1.52E+00	1.47E-05
1.64E+00	1.06E-05
1.76E+00	1.29E-05
1.90E+00	8.60E-06
2.04E+00	8.02E-06
2.20E+00	6.75E-06
2.37E+00	4.70E-06
2.55E+00	8.66E-06
2.74E+00	4.88E-06
2.95E+00	2.03E-06
3.18E+00	5.32E-06
3.42E+00	1.42E-06
3.68E+00	2.32E-06
3.96E+00	1.10E-06
4.27E+00	1.29E-06
4.59E+00	1.07E-06
4.95E+00	1.10E-06
5.32E+00	1.05E-06
5.73E+00	1.11E-06
6.17E+00	1.66E-07
6.64E+00	4.97E-07
7.15E+00	4.68E-07
7.69E+00	2.57E-07
8.28E+00	1.52E-07
8.91E+00	1.28E-07
9.60E+00	8.63E-07
1.03E+01	1.55E-07
1.39E+01	2.01E-07
