Cor C	Cor A	Value	Error
-450.0	-65.0	0.0328166	0.155
-445.5	-65.0	0.0321718	0.1896
-441.0	-65.0	0.0256513	0.1622
-436.5	-65.0	0.031731	0.3574
-432.0	-65.0	0.0241035	0.1482
-427.5	-65.0	0.0321583	0.2802
-423.0	-65.0	0.0253249	0.1459
-418.5	-65.0	0.0241286	0.1284
-414.0	-65.0	0.0323494	0.2453
-409.5	-65.0	0.0479517	0.4035
-405.0	-65.0	0.0379848	0.2851
-400.5	-65.0	0.0335709	0.1877
-396.0	-65.0	0.0586435	0.3418
-391.5	-65.0	0.090625	0.3382
-387.0	-65.0	0.050029	0.2469
-382.5	-65.0	0.0654828	0.2765
-378.0	-65.0	0.0512066	0.1918
-373.5	-65.0	0.0461939	0.1232
-369.0	-65.0	0.0478853	0.136
-364.5	-65.0	0.0555961	0.1544
-360.0	-65.0	0.0649468	0.1718
-355.5	-65.0	0.0541554	0.1189
-351.0	-65.0	0.0562278	0.1245
-346.5	-65.0	0.105638	0.2985
-342.0	-65.0	0.0729931	0.2273
-337.5	-65.0	0.056426	0.0894
-333.0	-65.0	0.0603214	0.0809
-328.5	-65.0	0.0635949	0.0895
-324.0	-65.0	0.0628396	0.0839
-319.5	-65.0	0.0808665	0.1196
-315.0	-65.0	0.0717575	0.0773
-310.5	-65.0	0.0894407	0.1334
-306.0	-65.0	0.0865098	0.0934
-301.5	-65.0	0.104525	0.1546
-297.0	-65.0	0.114753	0.1817
-292.5	-65.0	0.116111	0.1097
-288.0	-65.0	0.102162	0.0739
-283.5	-65.0	0.119251	0.1286
-279.0	-65.0	0.135986	0.1244
-274.5	-65.0	0.169563	0.1937
-270.0	-65.0	0.157994	0.0848
-265.5	-65.0	0.165078	0.08
-261.0	-65.0	0.155603	0.0602
-256.5	-65.0	0.179556	0.0665
-252.0	-65.0	0.194822	0.0603
-247.5	-65.0	0.200901	0.0588
-243.0	-65.0	0.240341	0.0576
-238.5	-65.0	0.242624	0.0538
-234.0	-65.0	0.257635	0.0598
-229.5	-65.0	0.325475	0.09
-225.0	-65.0	0.341369	0.072
-220.5	-65.0	0.357804	0.0565
-216.0	-65.0	0.380027	0.0552
-211.5	-65.0	0.451505	0.0719
-207.0	-65.0	0.480772	0.0583
-202.5	-65.0	0.531306	0.0613
-198.0	-65.0	0.556989	0.0578
-193.5	-65.0	0.628892	0.0581
-189.0	-65.0	0.615572	0.0504
-184.5	-65.0	0.647731	0.0442
-180.0	-65.0	0.692754	0.0423
-175.5	-65.0	0.82554	0.0539
-171.0	-65.0	0.955078	0.0733
-166.5	-65.0	0.923105	0.0546
-162.0	-65.0	0.901783	0.0359
-157.5	-65.0	1.05928	0.0542
-153.0	-65.0	1.0935	0.0363
-148.5	-65.0	1.34368	0.0554
-144.0	-65.0	1.32283	0.0477
-139.5	-65.0	1.74721	0.2031
-135.0	-65.0	1.41393	0.0348
-130.5	-65.0	1.59959	0.0525
-126.0	-65.0	1.62079	0.0448
-121.5	-65.0	1.88827	0.0449
-117.0	-65.0	2.02829	0.0474
-112.5	-65.0	12.4819	0.8376
-108.0	-65.0	2.03022	0.033
-103.5	-65.0	2.44748	0.0511
-99.0	-65.0	2.27946	0.0399
-94.5	-65.0	2.47373	0.0413
-90.0	-65.0	14.0816	0.8136
-85.5	-65.0	2.65055	0.0378
-81.0	-65.0	2.87993	0.0378
-76.5	-65.0	3.14929	0.0517
-72.0	-65.0	3.10737	0.0451
-67.5	-65.0	3.38311	0.045
-63.0	-65.0	3.31126	0.0311
-58.5	-65.0	5.26714	0.3197
-54.0	-65.0	3.5459	0.0388
-49.5	-65.0	3.47701	0.0373
-45.0	-65.0	3.85231	0.0458
-40.5	-65.0	3.81676	0.04
-36.0	-65.0	3.88624	0.0367
-31.5	-65.0	4.18137	0.0397
-27.0	-65.0	7.7229	0.4715
-22.5	-65.0	4.33315	0.0493
-18.0	-65.0	4.50641	0.0479
-13.5	-65.0	9.59516	0.5627
-9.0	-65.0	5.60919	0.1678
-4.5	-65.0	5.20516	0.0415
0.0	-65.0	8.46913	0.1106
4.5	-65.0	5.44026	0.1149
9.0	-65.0	4.8398	0.0358
13.5	-65.0	4.58764	0.0364
18.0	-65.0	3.96496	0.0265
22.5	-65.0	3.97059	0.0311
27.0	-65.0	4.03326	0.0342
31.5	-65.0	4.6661	0.1578
36.0	-65.0	8.9226	0.5531
40.5	-65.0	5.92095	0.3396
45.0	-65.0	4.9024	0.3116
49.5	-65.0	3.67622	0.0385
54.0	-65.0	3.54023	0.0413
58.5	-65.0	3.40863	0.04
63.0	-65.0	3.19314	0.0374
67.5	-65.0	3.90575	0.2165
72.0	-65.0	12.2461	0.6829
76.5	-65.0	3.11881	0.0381
81.0	-65.0	2.95301	0.0365
85.5	-65.0	2.71637	0.0363
90.0	-65.0	2.60821	0.0357
94.5	-65.0	2.59053	0.0367
99.0	-65.0	2.38468	0.0302
103.5	-65.0	2.57355	0.0488
108.0	-65.0	2.53912	0.057
112.5	-65.0	2.22982	0.0433
117.0	-65.0	2.64485	0.2381
121.5	-65.0	2.21053	0.0904
126.0	-65.0	1.77564	0.035
130.5	-65.0	1.7706	0.0425
135.0	-65.0	1.64296	0.0417
139.5	-65.0	1.68159	0.0479
144.0	-65.0	1.5413	0.0531
148.5	-65.0	1.44053	0.0551
153.0	-65.0	1.38606	0.0453
157.5	-65.0	1.22799	0.0461
162.0	-65.0	1.14409	0.0437
166.5	-65.0	1.08487	0.0537
171.0	-65.0	1.0155	0.0533
175.5	-65.0	0.883061	0.0581
180.0	-65.0	0.823709	0.0623
184.5	-65.0	0.727563	0.0516
189.0	-65.0	0.620161	0.0413
193.5	-65.0	0.579111	0.0628
198.0	-65.0	0.524064	0.0591
202.5	-65.0	0.493221	0.0816
207.0	-65.0	0.444511	0.076
211.5	-65.0	0.346483	0.0563
216.0	-65.0	0.302812	0.0804
220.5	-65.0	0.270535	0.0656
225.0	-65.0	0.256745	0.0833
229.5	-65.0	0.260892	0.0962
234.0	-65.0	0.20981	0.0593
238.5	-65.0	0.201897	0.0757
243.0	-65.0	0.227698	0.1313
247.5	-65.0	0.177598	0.0964
252.0	-65.0	0.166839	0.0734
256.5	-65.0	0.132966	0.0658
261.0	-65.0	0.143905	0.0887
265.5	-65.0	0.123469	0.0773
270.0	-65.0	0.123378	0.0795
274.5	-65.0	0.12724	0.08
279.0	-65.0	0.122134	0.1655
283.5	-65.0	0.109679	0.0741
288.0	-65.0	0.109327	0.079
292.5	-65.0	0.112303	0.1184
297.0	-65.0	0.108525	0.1005
301.5	-65.0	0.117891	0.0964
306.0	-65.0	0.0920072	0.1281
310.5	-65.0	0.103865	0.1078
315.0	-65.0	0.0922715	0.1005
319.5	-65.0	0.101301	0.1383
324.0	-65.0	0.156156	0.2034
328.5	-65.0	0.083935	0.0901
333.0	-65.0	0.0932965	0.1791
337.5	-65.0	0.090233	0.1867
342.0	-65.0	0.0723032	0.1846
346.5	-65.0	0.0766031	0.1535
351.0	-65.0	0.0625288	0.1561
355.5	-65.0	0.0593247	0.0875
360.0	-65.0	0.0723194	0.1139
364.5	-65.0	0.0733497	0.1543
369.0	-65.0	0.0658237	0.1642
373.5	-65.0	0.0487786	0.0989
378.0	-65.0	0.0940084	0.3755
382.5	-65.0	0.0500122	0.1459
387.0	-65.0	0.0473777	0.1292
391.5	-65.0	0.0653502	0.2708
396.0	-65.0	0.0596452	0.1392
400.5	-65.0	0.0416962	0.1409
405.0	-65.0	0.0762262	0.4403
409.5	-65.0	0.0416053	0.291
414.0	-65.0	0.0523638	0.2969
418.5	-65.0	0.041935	0.2886
423.0	-65.0	0.0411811	0.2382
427.5	-65.0	0.0349207	0.128
432.0	-65.0	0.0440932	0.23
436.5	-65.0	0.0585689	0.4255
441.0	-65.0	0.0641804	0.3926
445.5	-65.0	0.0785605	0.1976
-450.0	-62.4333	0.0467029	0.3232
-445.5	-62.4333	0.0435014	0.1854
-441.0	-62.4333	0.0357003	0.2023
-436.5	-62.4333	0.0249305	0.1543
-432.0	-62.4333	0.0313871	0.3387
-427.5	-62.4333	0.0195702	0.1664
-423.0	-62.4333	0.0246332	0.1292
-418.5	-62.4333	0.0452813	0.4682
-414.0	-62.4333	0.0271443	0.1452
-409.5	-62.4333	0.0233143	0.1354
-405.0	-62.4333	0.0317506	0.162
-400.5	-62.4333	0.0347647	0.1368
-396.0	-62.4333	0.0455252	0.2904
-391.5	-62.4333	0.0379674	0.1385
-387.0	-62.4333	0.0370281	0.1177
-382.5	-62.4333	0.0460915	0.1616
-378.0	-62.4333	0.0505094	0.1035
-373.5	-62.4333	0.0857903	0.3061
-369.0	-62.4333	0.0622264	0.2166
-364.5	-62.4333	0.0434375	0.1133
-360.0	-62.4333	0.0510815	0.1212
-355.5	-62.4333	0.0497642	0.0978
-351.0	-62.4333	0.0541733	0.0929
-346.5	-62.4333	0.0583576	0.0995
-342.0	-62.4333	0.0643987	0.0924
-337.5	-62.4333	0.0969646	0.2343
-333.0	-62.4333	0.0636135	0.089
-328.5	-62.4333	0.0769356	0.0953
-324.0	-62.4333	0.115259	0.2512
-319.5	-62.4333	0.0777809	0.0948
-315.0	-62.4333	0.0845527	0.0852
-310.5	-62.4333	0.0996466	0.0802
-306.0	-62.4333	0.115796	0.1336
-301.5	-62.4333	0.110939	0.0836
-297.0	-62.4333	0.0985328	0.1039
-292.5	-62.4333	0.0981186	0.0715
-288.0	-62.4333	0.107689	0.0676
-283.5	-62.4333	0.119555	0.0769
-279.0	-62.4333	0.13656	0.092
-274.5	-62.4333	0.126743	0.0877
-270.0	-62.4333	0.139863	0.0587
-265.5	-62.4333	0.167377	0.0866
-261.0	-62.4333	0.175465	0.1126
-256.5	-62.4333	0.179474	0.0674
-252.0	-62.4333	0.191204	0.0491
-247.5	-62.4333	0.228672	0.0657
-243.0	-62.4333	0.261897	0.0703
-238.5	-62.4333	0.270173	0.0652
-234.0	-62.4333	0.29247	0.0664
-229.5	-62.4333	0.318771	0.0573
-225.0	-62.4333	0.332967	0.0652
-220.5	-62.4333	0.352445	0.0466
-216.0	-62.4333	0.441223	0.0596
-211.5	-62.4333	0.442505	0.0607
-207.0	-62.4333	0.489302	0.0613
-202.5	-62.4333	0.52581	0.0545
-198.0	-62.4333	0.581523	0.0897
-193.5	-62.4333	0.627164	0.0559
-189.0	-62.4333	0.62948	0.0581
-184.5	-62.4333	0.688351	0.0486
-180.0	-62.4333	0.739032	0.0678
-175.5	-62.4333	0.816462	0.0559
-171.0	-62.4333	0.925417	0.0508
-166.5	-62.4333	0.884721	0.0351
-162.0	-62.4333	1.01497	0.0403
-157.5	-62.4333	1.28543	0.1342
-153.0	-62.4333	1.22683	0.048
-148.5	-62.4333	1.18706	0.0343
-144.0	-62.4333	1.40289	0.0558
-139.5	-62.4333	1.46289	0.044
-135.0	-62.4333	1.53952	0.0381
-130.5	-62.4333	1.72464	0.0469
-126.0	-62.4333	1.7765	0.0357
-121.5	-62.4333	1.85175	0.0412
-117.0	-62.4333	1.84501	0.0326
-112.5	-62.4333	2.11755	0.0414
-108.0	-62.4333	2.347	0.0536
-103.5	-62.4333	2.35349	0.0362
-99.0	-62.4333	6.50068	0.603
-94.5	-62.4333	2.48815	0.0353
-90.0	-62.4333	3.13174	0.0686
-85.5	-62.4333	2.92364	0.0528
-81.0	-62.4333	3.03637	0.0362
-76.5	-62.4333	3.28548	0.0416
-72.0	-62.4333	3.28031	0.0377
-67.5	-62.4333	3.44187	0.0369
-63.0	-62.4333	3.52317	0.0412
-58.5	-62.4333	3.96028	0.0414
-54.0	-62.4333	3.68964	0.0376
-49.5	-62.4333	3.58828	0.0327
-45.0	-62.4333	3.70814	0.0355
-40.5	-62.4333	4.09672	0.0386
-36.0	-62.4333	3.91354	0.0351
-31.5	-62.4333	4.2171	0.041
-27.0	-62.4333	4.33516	0.0373
-22.5	-62.4333	4.22665	0.0323
-18.0	-62.4333	4.36335	0.0283
-13.5	-62.4333	4.72779	0.0368
-9.0	-62.4333	4.83994	0.0355
-4.5	-62.4333	5.26212	0.0533
0.0	-62.4333	8.53037	0.0831
4.5	-62.4333	5.12398	0.0353
9.0	-62.4333	6.33998	0.1932
13.5	-62.4333	4.80752	0.0339
18.0	-62.4333	5.02799	0.0461
22.5	-62.4333	4.60096	0.0478
27.0	-62.4333	4.16555	0.031
31.5	-62.4333	4.1771	0.041
36.0	-62.4333	3.85961	0.031
40.5	-62.4333	3.98345	0.0361
45.0	-62.4333	4.16506	0.0392
49.5	-62.4333	3.78566	0.0351
54.0	-62.4333	3.81323	0.0417
58.5	-62.4333	3.63483	0.0331
63.0	-62.4333	3.51979	0.0359
67.5	-62.4333	3.29973	0.0338
72.0	-62.4333	4.65568	0.2636
76.5	-62.4333	3.34726	0.0362
81.0	-62.4333	3.23012	0.0409
85.5	-62.4333	6.14417	0.5232
90.0	-62.4333	7.28805	0.5728
94.5	-62.4333	2.70756	0.0485
99.0	-62.4333	2.80814	0.0426
103.5	-62.4333	2.62449	0.043
108.0	-62.4333	2.48706	0.0486
112.5	-62.4333	2.30096	0.0364
117.0	-62.4333	2.2923	0.0527
121.5	-62.4333	2.16205	0.0445
126.0	-62.4333	2.061	0.0463
130.5	-62.4333	1.83431	0.0394
135.0	-62.4333	1.84535	0.0446
139.5	-62.4333	1.81623	0.0436
144.0	-62.4333	1.58529	0.0356
148.5	-62.4333	1.55822	0.0524
153.0	-62.4333	1.44224	0.048
157.5	-62.4333	1.44644	0.0485
162.0	-62.4333	1.15992	0.0426
166.5	-62.4333	1.03163	0.0495
171.0	-62.4333	1.06171	0.0577
175.5	-62.4333	0.966342	0.0596
180.0	-62.4333	0.903365	0.0575
184.5	-62.4333	0.75534	0.0522
189.0	-62.4333	0.655436	0.0647
193.5	-62.4333	0.577781	0.0462
198.0	-62.4333	0.512602	0.0571
202.5	-62.4333	0.514277	0.0562
207.0	-62.4333	0.42611	0.0627
211.5	-62.4333	0.387702	0.0509
216.0	-62.4333	0.34893	0.0654
220.5	-62.4333	0.309708	0.0921
225.0	-62.4333	0.309806	0.0796
229.5	-62.4333	0.240307	0.0765
234.0	-62.4333	0.232498	0.091
238.5	-62.4333	0.212648	0.0606
243.0	-62.4333	0.203551	0.0698
247.5	-62.4333	0.189736	0.0659
252.0	-62.4333	0.164039	0.0691
256.5	-62.4333	0.154811	0.0786
261.0	-62.4333	0.151676	0.1077
265.5	-62.4333	0.155075	0.0993
270.0	-62.4333	0.127789	0.0853
274.5	-62.4333	0.117331	0.0654
279.0	-62.4333	0.105506	0.0849
283.5	-62.4333	0.0913485	0.0604
288.0	-62.4333	0.111751	0.1273
292.5	-62.4333	0.106063	0.0766
297.0	-62.4333	0.122465	0.1553
301.5	-62.4333	0.130529	0.1616
306.0	-62.4333	0.0949299	0.1221
310.5	-62.4333	0.125398	0.1433
315.0	-62.4333	0.0933168	0.1241
319.5	-62.4333	0.0830811	0.0945
324.0	-62.4333	0.107927	0.142
328.5	-62.4333	0.0990215	0.1495
333.0	-62.4333	0.0796361	0.0836
337.5	-62.4333	0.0772653	0.1253
342.0	-62.4333	0.0911148	0.131
346.5	-62.4333	0.104632	0.2172
351.0	-62.4333	0.0837198	0.1994
355.5	-62.4333	0.0664219	0.1022
360.0	-62.4333	0.0761755	0.1327
364.5	-62.4333	0.0840557	0.2
369.0	-62.4333	0.0717585	0.1297
373.5	-62.4333	0.0764862	0.2258
378.0	-62.4333	0.0630568	0.0894
382.5	-62.4333	0.051491	0.106
387.0	-62.4333	0.0683541	0.1649
391.5	-62.4333	0.0944061	0.2595
396.0	-62.4333	0.0812761	0.2626
400.5	-62.4333	0.053138	0.2182
405.0	-62.4333	0.0409036	0.1475
409.5	-62.4333	0.0309523	0.122
414.0	-62.4333	0.0375892	0.1756
418.5	-62.4333	0.0307445	0.1213
423.0	-62.4333	0.0409882	0.2474
427.5	-62.4333	0.0380974	0.1732
432.0	-62.4333	0.0583881	0.337
436.5	-62.4333	0.0803232	0.3844
441.0	-62.4333	0.0408444	0.1364
445.5	-62.4333	0.0458595	0.2104
-450.0	-59.8667	0.0481033	0.2791
-445.5	-59.8667	0.0302127	0.1435
-441.0	-59.8667	0.0295054	0.143
-436.5	-59.8667	0.0245992	0.1572
-432.0	-59.8667	0.022702	0.1429
-427.5	-59.8667	0.0387615	0.2603
-423.0	-59.8667	0.0311512	0.1589
-418.5	-59.8667	0.0231031	0.1419
-414.0	-59.8667	0.0366351	0.2785
-409.5	-59.8667	0.0314427	0.1749
-405.0	-59.8667	0.0296254	0.145
-400.5	-59.8667	0.0309346	0.1209
-396.0	-59.8667	0.0471789	0.2642
-391.5	-59.8667	0.043703	0.1549
-387.0	-59.8667	0.0578363	0.183
-382.5	-59.8667	0.0442941	0.1272
-378.0	-59.8667	0.0532577	0.1952
-373.5	-59.8667	0.0605091	0.1712
-369.0	-59.8667	0.0674058	0.1366
-364.5	-59.8667	0.060271	0.1703
-360.0	-59.8667	0.0736566	0.14
-355.5	-59.8667	0.0588458	0.0961
