Cor B	Cor A	Value	Error
-450.0	-65.0	0.00121995	0.806
-445.5	-65.0	0.0071095	0.604
-441.0	-65.0	0.0118681	0.5675
-436.5	-65.0	0.0118741	0.4726
-432.0	-65.0	0.00506302	0.5985
-427.5	-65.0	0.0035387	0.5932
-423.0	-65.0	0.00221444	0.6998
-418.5	-65.0	0.00398564	0.5431
-414.0	-65.0	0.00327886	0.7526
-409.5	-65.0	0.00838574	0.7062
-405.0	-65.0	0.00371131	0.8619
-400.5	-65.0	0.00256418	0.6389
-396.0	-65.0	0.00172729	0.8645
-391.5	-65.0	0.00288242	0.5759
-387.0	-65.0	0.000823852	0.6432
-382.5	-65.0	0.00537145	0.696
-378.0	-65.0	0.000349118	0.3323
-373.5	-65.0	0.00137417	0.65
-369.0	-65.0	0.00639974	0.4769
-364.5	-65.0	0.0115696	0.5104
-360.0	-65.0	0.0254776	0.3394
-355.5	-65.0	0.0467069	0.3786
-351.0	-65.0	0.133433	0.404
-346.5	-65.0	0.214173	0.4903
-342.0	-65.0	0.245994	0.5137
-337.5	-65.0	0.58384	0.3699
-333.0	-65.0	1.19437	0.3994
-328.5	-65.0	1.50333	0.385
-324.0	-65.0	2.03402	0.3801
-319.5	-65.0	3.75849	0.1956
-315.0	-65.0	4.54534	0.2121
-310.5	-65.0	4.82189	0.2115
-306.0	-65.0	5.84296	0.2008
-301.5	-65.0	5.74962	0.1855
-297.0	-65.0	5.73838	0.1647
-292.5	-65.0	5.45969	0.1697
-288.0	-65.0	12.0162	0.5792
-283.5	-65.0	4.83543	0.1455
-279.0	-65.0	5.14252	0.1438
-274.5	-65.0	5.38704	0.1409
-270.0	-65.0	6.2981	0.1471
-265.5	-65.0	5.22409	0.1577
-261.0	-65.0	5.73888	0.149
-256.5	-65.0	4.54773	0.1534
-252.0	-65.0	4.45842	0.1726
-247.5	-65.0	4.41992	0.3454
-243.0	-65.0	5.5471	0.3708
-238.5	-65.0	8.29585	0.2823
-234.0	-65.0	10.7053	0.2823
-229.5	-65.0	11.3851	0.2606
-225.0	-65.0	16.3475	0.2834
-220.5	-65.0	19.5924	0.3202
-216.0	-65.0	22.5102	0.2046
-211.5	-65.0	34.1442	0.4047
-207.0	-65.0	35.5301	0.1989
-202.5	-65.0	30.0523	0.2006
-198.0	-65.0	35.1569	0.1791
-193.5	-65.0	32.387	0.2122
-189.0	-65.0	48.1675	0.2199
-184.5	-65.0	60.4722	0.3041
-180.0	-65.0	99.1345	0.3574
-175.5	-65.0	234.826	0.2226
-171.0	-65.0	548.961	0.3689
-166.5	-65.0	977.203	0.1981
-162.0	-65.0	3349.37	0.1377
-157.5	-65.0	14958.8	0.1972
-153.0	-65.0	102240.0	0.1372
-148.5	-65.0	474082.0	0.0832
-144.0	-65.0	783022.0	0.0694
-139.5	-65.0	718792.0	0.0667
-135.0	-65.0	731877.0	0.0695
-130.5	-65.0	813117.0	0.0674
-126.0	-65.0	895836.0	0.0628
-121.5	-65.0	1027540.0	0.062
-117.0	-65.0	1175930.0	0.0579
-112.5	-65.0	1180780.0	0.0553
-108.0	-65.0	1379510.0	0.0507
-103.5	-65.0	1620910.0	0.0474
-99.0	-65.0	1885680.0	0.0455
-94.5	-65.0	2251920.0	0.0418
-90.0	-65.0	2807310.0	0.0387
-85.5	-65.0	3168200.0	0.0353
-81.0	-65.0	3847300.0	0.0325
-76.5	-65.0	4570270.0	0.0295
-72.0	-65.0	5227350.0	0.0277
-67.5	-65.0	6017210.0	0.0261
-63.0	-65.0	6685430.0	0.024
-58.5	-65.0	7425770.0	0.023
-54.0	-65.0	8277600.0	0.0218
-49.5	-65.0	8587120.0	0.021
-45.0	-65.0	9571980.0	0.0197
-40.5	-65.0	9877770.0	0.0192
-36.0	-65.0	11106100.0	0.0189
-31.5	-65.0	12601200.0	0.0182
-27.0	-65.0	14353300.0	0.0172
-22.5	-65.0	15908900.0	0.0164
-18.0	-65.0	18558000.0	0.0153
-13.5	-65.0	21508600.0	0.0144
-9.0	-65.0	26238600.0	0.0136
-4.5	-65.0	33753100.0	0.0125
0.0	-65.0	46000200.0	0.0113
4.5	-65.0	54876900.0	0.0103
9.0	-65.0	57515000.0	0.0099
13.5	-65.0	60040400.0	0.0095
18.0	-65.0	60105000.0	0.0094
22.5	-65.0	56454000.0	0.0095
27.0	-65.0	53123800.0	0.0097
31.5	-65.0	48036500.0	0.01
36.0	-65.0	43445000.0	0.0104
40.5	-65.0	40772200.0	0.0107
45.0	-65.0	35706300.0	0.0111
49.5	-65.0	32290400.0	0.0115
54.0	-65.0	30221900.0	0.012
58.5	-65.0	28467200.0	0.0122
63.0	-65.0	25314700.0	0.0127
67.5	-65.0	23844400.0	0.013
72.0	-65.0	21987900.0	0.0137
76.5	-65.0	20468400.0	0.014
81.0	-65.0	18348500.0	0.0149
85.5	-65.0	17935400.0	0.0153
90.0	-65.0	19308400.0	0.0152
94.5	-65.0	20934800.0	0.0149
99.0	-65.0	21320400.0	0.0148
103.5	-65.0	15509800.0	0.0177
108.0	-65.0	2975510.0	0.0384
112.5	-65.0	775444.0	0.0773
117.0	-65.0	275315.0	0.0759
121.5	-65.0	98138.0	0.0717
126.0	-65.0	46283.4	0.0806
130.5	-65.0	22097.9	0.0966
135.0	-65.0	12112.8	0.1448
139.5	-65.0	9612.16	0.1513
144.0	-65.0	9063.3	0.1303
148.5	-65.0	7704.59	0.0799
153.0	-65.0	7034.01	0.0747
157.5	-65.0	5734.58	0.0572
162.0	-65.0	5649.62	0.0752
166.5	-65.0	5812.94	0.1139
171.0	-65.0	4861.99	0.0918
175.5	-65.0	4378.08	0.0958
180.0	-65.0	3032.87	0.0749
184.5	-65.0	2340.34	0.1368
189.0	-65.0	1461.3	0.0823
193.5	-65.0	1059.12	0.1109
198.0	-65.0	561.503	0.1115
202.5	-65.0	247.293	0.0949
207.0	-65.0	240.502	0.1672
211.5	-65.0	195.151	0.0512
216.0	-65.0	209.028	0.0693
220.5	-65.0	221.91	0.114
225.0	-65.0	204.708	0.089
229.5	-65.0	287.173	0.2991
234.0	-65.0	207.465	0.0994
238.5	-65.0	181.261	0.0417
243.0	-65.0	369.569	0.4627
247.5	-65.0	276.627	0.2553
252.0	-65.0	304.535	0.403
