Na24	1.00E-09
He6	1.79E-07
Li7	1.62E-08
Be9	8.12E-09
Cl44	4.06E-09
Ar44	8.12E-09
Ar45	4.06E-09
Ar46	4.06E-09
K45	4.06E-09
K46	4.06E-09
K47	4.06E-09
K49	4.06E-09
Ca46	1.22E-08
Ca47	4.06E-09
Ca48	8.12E-09
Ca50	8.12E-09
Sc40	4.06E-09
Sc41	4.06E-09
Sc48	4.06E-09
Sc49	8.12E-09
Sc50	8.12E-09
Sc51	2.03E-08
Ti41	2.03E-08
Ti42	1.22E-08
Ti43	1.22E-08
Ti44	8.12E-09
Ti50	4.06E-09
Ti51	2.03E-08
Ti52	4.47E-08
Ti53	6.09E-08
Ti54	6.09E-08
V44	7.31E-08
V45	4.87E-08
V46	2.03E-08
V47	1.62E-08
V50	4.06E-09
V53	2.84E-08
V54	2.84E-08
V55	9.74E-08
V56	1.06E-07
Cr45	1.58E-07
Cr46	8.53E-08
Cr47	6.50E-08
Cr48	3.25E-08
Cr49	2.84E-08
Cr50	2.44E-08
Cr51	4.06E-09
Cr52	4.06E-09
Cr54	8.12E-09
Cr55	1.62E-08
Cr56	8.93E-08
Cr57	1.22E-07
Cr58	2.35E-07
Cr59	1.75E-07
Mn49	2.80E-07
Mn50	1.87E-07
Mn51	1.14E-07
Mn52	2.84E-08
Mn53	3.65E-08
Mn54	2.84E-08
Mn55	4.06E-09
Mn56	1.22E-08
Mn57	2.03E-08
Mn58	1.10E-07
Mn59	2.56E-07
Mn60	3.53E-07
Mn61	5.81E-07
Mn62	5.32E-07
Fe49	6.25E-07
Fe50	3.17E-07
Fe51	2.68E-07
Fe52	1.71E-07
Fe53	6.50E-08
Fe54	2.03E-08
Fe55	4.06E-09
Fe58	2.44E-08
Fe59	6.09E-08
Fe60	1.91E-07
Fe61	3.33E-07
Fe62	9.09E-07
Fe63	9.50E-07
Fe64	1.58E-06
Co53	1.15E-06
Co54	1.60E-06
Co55	8.57E-07
Co56	7.47E-07
Co57	2.15E-07
Co58	1.18E-07
Co59	8.12E-09
Co60	2.84E-08
Co61	7.31E-08
Co62	1.91E-07
Co63	7.43E-07
Co64	1.19E-06
Ni53	2.73E-06
Ni54	2.87E-06
Ni55	4.66E-06
Ni56	3.11E-06
Ni57	3.69E-06
Ni58	2.38E-06
Ni59	1.38E-06
Ni60	4.91E-07
Ni61	2.31E-07
Ni62	7.71E-08
Ni63	7.71E-08
Ni64	3.37E-07
Ni65	8.16E-07
Ni66	2.80E-06
Ni67	3.98E-06
Ni68	8.66E-06
Cu57	8.07E-06
Cu58	1.25E-05
Cu59	7.70E-06
Cu60	8.60E-06
Cu61	3.82E-06
Cu62	2.70E-06
Cu63	7.79E-07
Cu64	3.73E-07
Cu65	1.75E-07
Cu66	3.65E-07
Cu67	1.45E-06
Cu68	3.34E-06
Cu69	9.53E-06
Cu70	1.14E-05
Cu71	2.44E-05
Cu72	2.01E-05
Cu73	2.81E-05
Zn57	1.93E-05
Zn58	1.57E-05
Zn59	6.26E-06
Zn60	4.05E-06
Zn61	9.66E-07
Zn62	4.14E-07
Zn63	4.06E-08
Zn64	1.62E-08
Zn65	4.06E-09
Zn66	2.03E-08
Zn67	6.50E-08
Zn68	4.83E-07
Zn69	1.34E-06
Zn70	6.21E-06
Zn71	9.73E-06
Zn72	3.04E-05
Zn73	3.04E-05
Zn74	6.41E-05
Zn75	4.18E-05
Zn76	5.87E-05
Zn77	2.86E-05
Zn78	2.38E-05
Ga62	9.40E-06
Ga63	5.28E-06
Ga64	1.71E-07
Ga65	4.34E-07
Ga66	6.09E-08
Ga67	1.22E-08
Ga68	8.12E-09
Ga69	6.90E-08
Ga70	3.78E-07
Ga71	1.99E-06
Ga72	4.90E-06
Ga73	2.00E-05
Ga74	3.04E-05
Ga75	7.53E-05
Ga76	7.61E-05
Ga77	1.20E-04
Ga78	9.19E-05
Ga79	9.04E-05
Ga80	4.14E-05
