Cor B	Cor A	Value	Error
-450.0	-65.0	0.0153618	0.3174
-445.5	-65.0	0.0135347	0.4981
-441.0	-65.0	0.0138822	0.4675
-436.5	-65.0	0.00859384	0.6181
-432.0	-65.0	0.0185898	0.3773
-427.5	-65.0	0.00909972	0.4217
-423.0	-65.0	0.0092502	0.4193
-418.5	-65.0	0.0160264	0.3492
-414.0	-65.0	0.0215627	0.5498
-409.5	-65.0	0.019719	0.5911
-405.0	-65.0	0.00992859	0.3695
-400.5	-65.0	0.0120124	0.3168
-396.0	-65.0	0.0133885	0.4149
-391.5	-65.0	0.00832712	0.3878
-387.0	-65.0	0.00885323	0.3926
-382.5	-65.0	0.00710706	0.4553
-378.0	-65.0	0.00327923	0.5171
-373.5	-65.0	0.0145834	0.436
-369.0	-65.0	0.0248523	0.4933
-364.5	-65.0	0.0204317	0.2701
-360.0	-65.0	0.0425806	0.2453
-355.5	-65.0	0.048772	0.2198
-351.0	-65.0	0.0799917	0.1994
-346.5	-65.0	0.132777	0.2341
-342.0	-65.0	0.167027	0.3054
-337.5	-65.0	0.30582	0.299
-333.0	-65.0	0.58397	0.4045
-328.5	-65.0	0.35416	0.3849
-324.0	-65.0	0.761696	0.3875
-319.5	-65.0	1.65777	0.2049
-315.0	-65.0	3.14155	0.1966
-310.5	-65.0	1.85506	0.2051
-306.0	-65.0	1.82912	0.2218
-301.5	-65.0	2.02268	0.2168
-297.0	-65.0	2.52675	0.1768
-292.5	-65.0	12.8496	0.8241
-288.0	-65.0	22.8625	0.9041
-283.5	-65.0	2.85461	0.2411
-279.0	-65.0	2.36037	0.1979
-274.5	-65.0	2.3135	0.1842
-270.0	-65.0	2.1038	0.1959
-265.5	-65.0	2.18584	0.2639
-261.0	-65.0	1.64841	0.2033
-256.5	-65.0	1.37968	0.1755
-252.0	-65.0	1.72477	0.2621
-247.5	-65.0	1.05469	0.2564
-243.0	-65.0	1.61314	0.3409
-238.5	-65.0	2.91089	0.3432
-234.0	-65.0	2.7871	0.1963
-229.5	-65.0	4.28798	0.1966
-225.0	-65.0	6.93326	0.1748
-220.5	-65.0	20.9303	0.3972
-216.0	-65.0	21.4894	0.3169
-211.5	-65.0	23.2949	0.1808
