Cor C	Cor A	Value	Error
-450.0	-65.0	0.0204849	0.2851
-445.5	-65.0	0.0164748	0.2018
-441.0	-65.0	0.0157495	0.2335
-436.5	-65.0	0.0135842	0.2508
-432.0	-65.0	0.0126993	0.2553
-427.5	-65.0	0.0168405	0.2192
-423.0	-65.0	0.00967328	0.1536
-418.5	-65.0	0.0125773	0.2134
-414.0	-65.0	0.0163558	0.4574
-409.5	-65.0	0.00851973	0.1467
-405.0	-65.0	0.0181248	0.1683
-400.5	-65.0	0.0136623	0.1625
-396.0	-65.0	0.0146851	0.1647
-391.5	-65.0	0.0144238	0.1362
-387.0	-65.0	0.0154035	0.1224
-382.5	-65.0	0.0159413	0.124
-378.0	-65.0	0.0207874	0.1653
-373.5	-65.0	0.0160412	0.1224
-369.0	-65.0	0.0241305	0.167
-364.5	-65.0	0.0181124	0.1262
-360.0	-65.0	0.0212737	0.114
-355.5	-65.0	0.0182478	0.1188
-351.0	-65.0	0.0233177	0.1584
-346.5	-65.0	0.0200705	0.0998
-342.0	-65.0	0.0206381	0.1091
-337.5	-65.0	0.0209799	0.1221
-333.0	-65.0	0.0189302	0.147
-328.5	-65.0	0.0285236	0.2074
-324.0	-65.0	0.02181	0.098
-319.5	-65.0	0.0276735	0.1279
-315.0	-65.0	0.0263619	0.1089
-310.5	-65.0	0.0262485	0.1228
-306.0	-65.0	0.0331673	0.191
-301.5	-65.0	0.0302233	0.1275
-297.0	-65.0	0.0294263	0.0981
-292.5	-65.0	0.0285276	0.1052
-288.0	-65.0	0.0333712	0.1056
-283.5	-65.0	0.0506442	0.2617
-279.0	-65.0	0.0424318	0.1174
-274.5	-65.0	0.0434384	0.1107
-270.0	-65.0	0.0601994	0.2194
-265.5	-65.0	0.0471959	0.1243
-261.0	-65.0	0.0535847	0.0942
-256.5	-65.0	0.0473556	0.0965
-252.0	-65.0	0.0565284	0.091
-247.5	-65.0	0.058488	0.1275
-243.0	-65.0	0.0538337	0.0921
-238.5	-65.0	0.0636873	0.1452
-234.0	-65.0	0.0700381	0.1055
-229.5	-65.0	0.0860479	0.1012
-225.0	-65.0	0.0703331	0.0777
-220.5	-65.0	0.0759656	0.0865
-216.0	-65.0	0.0849492	0.1447
-211.5	-65.0	0.100102	0.0702
-207.0	-65.0	0.0942819	0.069
-202.5	-65.0	0.117416	0.0808
-198.0	-65.0	0.113153	0.0658
-193.5	-65.0	0.14418	0.0727
-189.0	-65.0	0.141455	0.0665
-184.5	-65.0	0.147201	0.0629
-180.0	-65.0	0.186798	0.0986
-175.5	-65.0	0.181789	0.0634
-171.0	-65.0	0.196934	0.0917
-166.5	-65.0	0.198771	0.0612
-162.0	-65.0	0.195595	0.0525
-157.5	-65.0	0.258255	0.0605
-153.0	-65.0	0.236189	0.0613
-148.5	-65.0	0.243133	0.0478
-144.0	-65.0	0.247357	0.0671
-139.5	-65.0	0.303515	0.0662
-135.0	-65.0	0.263559	0.0559
-130.5	-65.0	0.301743	0.05
-126.0	-65.0	0.34319	0.0837
-121.5	-65.0	0.336712	0.0682
-117.0	-65.0	0.339714	0.0487
-112.5	-65.0	0.323805	0.0497
-108.0	-65.0	0.342429	0.0415
-103.5	-65.0	0.367111	0.0399
-99.0	-65.0	0.429591	0.0534
-94.5	-65.0	0.426776	0.055
-90.0	-65.0	0.448374	0.0484
-85.5	-65.0	0.488046	0.0762
-81.0	-65.0	0.45576	0.0364
-76.5	-65.0	0.504633	0.0832
-72.0	-65.0	0.485064	0.0386
-67.5	-65.0	0.584637	0.0777
