Cor B	Cor A	Value	Error
-450.0	-65.0	0.0186769	0.203
-445.5	-65.0	0.0222903	0.1779
-441.0	-65.0	0.0180985	0.177
-436.5	-65.0	0.0192207	0.1887
-432.0	-65.0	0.0243554	0.2665
-427.5	-65.0	0.0200367	0.2418
-423.0	-65.0	0.0214877	0.2137
-418.5	-65.0	0.0172535	0.2346
-414.0	-65.0	0.0147501	0.2641
-409.5	-65.0	0.01361	0.1847
-405.0	-65.0	0.0203434	0.2653
-400.5	-65.0	0.0237112	0.1631
-396.0	-65.0	0.0209627	0.1578
-391.5	-65.0	0.0191966	0.1688
-387.0	-65.0	0.023749	0.2142
-382.5	-65.0	0.0195785	0.1627
-378.0	-65.0	0.0206713	0.1933
-373.5	-65.0	0.0222789	0.2344
-369.0	-65.0	0.0311066	0.1938
-364.5	-65.0	0.055327	0.2004
-360.0	-65.0	0.127707	0.3066
-355.5	-65.0	0.12248	0.207
-351.0	-65.0	0.148042	0.1818
-346.5	-65.0	0.19202	0.1578
-342.0	-65.0	0.490212	0.6117
-337.5	-65.0	0.276401	0.1609
-333.0	-65.0	0.462454	0.1591
-328.5	-65.0	0.785762	0.1858
-324.0	-65.0	1.09773	0.2089
-319.5	-65.0	1.1975	0.101
-315.0	-65.0	1.28878	0.1066
-310.5	-65.0	1.42508	0.0942
-306.0	-65.0	1.45543	0.1008
-301.5	-65.0	1.37124	0.0891
-297.0	-65.0	1.46748	0.0857
-292.5	-65.0	1.44849	0.0906
-288.0	-65.0	1.41338	0.102
-283.5	-65.0	1.70994	0.1586
-279.0	-65.0	7.64695	0.7259
-274.5	-65.0	3.19761	0.3019
-270.0	-65.0	3.87014	0.26
-265.5	-65.0	10.9675	0.6901
-261.0	-65.0	4.26552	0.3085
-256.5	-65.0	4.65236	0.315
-252.0	-65.0	4.05892	0.3017
-247.5	-65.0	3.72263	0.2629
-243.0	-65.0	15.4875	0.5083
-238.5	-65.0	15.3668	0.3547
-234.0	-65.0	18.3744	0.2328
-229.5	-65.0	34.1106	0.2174
-225.0	-65.0	49.2561	0.2399
-220.5	-65.0	61.9279	0.2301
-216.0	-65.0	82.531	0.2129
-211.5	-65.0	192.001	0.1724
-207.0	-65.0	343.513	0.1512
-202.5	-65.0	408.272	0.1921
-198.0	-65.0	651.744	0.1514
-193.5	-65.0	1114.18	0.1712
-189.0	-65.0	1582.86	0.1363
-184.5	-65.0	2868.15	0.118
-180.0	-65.0	4318.08	0.1044
-175.5	-65.0	5693.14	0.1033
-171.0	-65.0	8199.12	0.1084
-166.5	-65.0	10322.4	0.079
-162.0	-65.0	14906.6	0.0844
-157.5	-65.0	25421.0	0.085
-153.0	-65.0	34016.4	0.0587
-148.5	-65.0	47815.4	0.0661
-144.0	-65.0	49072.7	0.0764
-139.5	-65.0	45855.3	0.078
-135.0	-65.0	44835.0	0.0779
-130.5	-65.0	45302.4	0.0732
-126.0	-65.0	54979.6	0.0785
-121.5	-65.0	52852.6	0.0737
-117.0	-65.0	60405.0	0.0763
-112.5	-65.0	61383.3	0.0764
-108.0	-65.0	75052.0	0.0654
-103.5	-65.0	83467.0	0.0693
-99.0	-65.0	90577.9	0.0606
-94.5	-65.0	96464.8	0.0562
-90.0	-65.0	98181.7	0.055
-85.5	-65.0	122280.0	0.0529
-81.0	-65.0	127546.0	0.0505
-76.5	-65.0	131782.0	0.0504
-72.0	-65.0	149419.0	0.047
-67.5	-65.0	180941.0	0.0439
-63.0	-65.0	196951.0	0.043
-58.5	-65.0	189975.0	0.0433
-54.0	-65.0	204183.0	0.0403
-49.5	-65.0	216561.0	0.0408
-45.0	-65.0	240207.0	0.0365
-40.5	-65.0	279871.0	0.0362
-36.0	-65.0	314952.0	0.0349
-31.5	-65.0	333253.0	0.0332
-27.0	-65.0	329620.0	0.0334
-22.5	-65.0	382540.0	0.0306
-18.0	-65.0	451282.0	0.0296
-13.5	-65.0	464729.0	0.0281
-9.0	-65.0	531328.0	0.0265
-4.5	-65.0	637072.0	0.0235
0.0	-65.0	810549.0	0.0199
4.5	-65.0	889029.0	0.0186
9.0	-65.0	885806.0	0.0183
13.5	-65.0	852452.0	0.0186
18.0	-65.0	821774.0	0.0192
22.5	-65.0	802240.0	0.0203
27.0	-65.0	715315.0	0.0211
31.5	-65.0	711712.0	0.0214
36.0	-65.0	664384.0	0.0224
40.5	-65.0	664838.0	0.0225
45.0	-65.0	638538.0	0.0232
49.5	-65.0	597551.0	0.0242
54.0	-65.0	612182.0	0.0246
58.5	-65.0	571820.0	0.0243
63.0	-65.0	541450.0	0.0246
67.5	-65.0	559451.0	0.0245
72.0	-65.0	537378.0	0.024
76.5	-65.0	567892.0	0.0241
81.0	-65.0	538757.0	0.0241
85.5	-65.0	527315.0	0.0241
90.0	-65.0	501973.0	0.0232
94.5	-65.0	517525.0	0.024
99.0	-65.0	478458.0	0.0238
103.5	-65.0	495050.0	0.022
108.0	-65.0	431839.0	0.0222
112.5	-65.0	332527.0	0.026
117.0	-65.0	245630.0	0.0271
121.5	-65.0	176773.0	0.0305
126.0	-65.0	131047.0	0.0308
130.5	-65.0	104154.0	0.0365
135.0	-65.0	81877.1	0.0444
139.5	-65.0	61267.5	0.0499
144.0	-65.0	37683.6	0.0647
148.5	-65.0	20294.5	0.0713
153.0	-65.0	11064.8	0.06
157.5	-65.0	6964.72	0.0575
162.0	-65.0	4341.09	0.0547
166.5	-65.0	2853.53	0.0601
171.0	-65.0	1876.76	0.0558
175.5	-65.0	1259.88	0.0561
180.0	-65.0	973.232	0.0793
184.5	-65.0	605.264	0.0887
189.0	-65.0	394.042	0.0931
193.5	-65.0	240.463	0.0728
198.0	-65.0	206.867	0.1423
202.5	-65.0	89.4997	0.061
207.0	-65.0	70.9338	0.0539
211.5	-65.0	91.5253	0.1517
216.0	-65.0	103.948	0.2276
220.5	-65.0	84.2345	0.1676
225.0	-65.0	85.0171	0.164
229.5	-65.0	72.0683	0.1576
234.0	-65.0	63.1706	0.0585
238.5	-65.0	66.5306	0.0563
243.0	-65.0	66.1064	0.0768
247.5	-65.0	66.8847	0.1119
252.0	-65.0	55.7094	0.0487
256.5	-65.0	53.3541	0.0574
261.0	-65.0	47.1615	0.0581
265.5	-65.0	46.574	0.058
270.0	-65.0	48.9557	0.0537
274.5	-65.0	49.055	0.0726
279.0	-65.0	54.7864	0.1648
283.5	-65.0	49.1948	0.1802
288.0	-65.0	45.508	0.1677
292.5	-65.0	43.3223	0.0842
297.0	-65.0	41.2839	0.0879
301.5	-65.0	36.6678	0.0711
306.0	-65.0	35.7124	0.0745
310.5	-65.0	32.2049	0.067
315.0	-65.0	32.3856	0.0579
319.5	-65.0	29.7413	0.048
324.0	-65.0	28.606	0.0676
328.5	-65.0	22.0593	0.0605
333.0	-65.0	17.8119	0.0774
337.5	-65.0	12.9659	0.0982
342.0	-65.0	8.2384	0.0749
346.5	-65.0	6.52231	0.1127
351.0	-65.0	4.32761	0.0722
355.5	-65.0	3.07466	0.0632
360.0	-65.0	2.42126	0.0825
364.5	-65.0	1.73215	0.0777
369.0	-65.0	1.2424	0.0729
373.5	-65.0	0.958502	0.0815
378.0	-65.0	1.14527	0.232
382.5	-65.0	0.774642	0.0706
