Cells	Value	Error
101	32615200.0	0.001
102	19186600.0	0.0009
103	3680570.0	0.001
104	841315.0	0.0012
105	217230.0	0.0014
106	59327.8	0.0017
107	16524.6	0.002
108	7159.21	0.0021
109	6487.6	0.0022
110	5928.51	0.0022
111	5458.19	0.0022
112	5059.85	0.0022
201	2666.98	0.0025
202	1365.73	0.0028
203	617.714	0.0032
204	273.158	0.0035
205	120.42	0.0037
206	53.2282	0.0039
207	23.5508	0.0041
208	9.63254	0.0043
