Cells	Value	Error
101	46593100.0	0.001
102	27409400.0	0.0009
103	5257950.0	0.001
104	1201880.0	0.0012
105	310329.0	0.0014
106	84753.9	0.0017
107	23606.5	0.002
108	10227.4	0.0021
109	9268.0	0.0022
110	8469.29	0.0022
111	7797.41	0.0022
112	7228.36	0.0022
201	3809.97	0.0025
202	1951.04	0.0028
203	882.448	0.0032
204	390.225	0.0035
205	172.029	0.0037
206	76.0403	0.0039
207	33.6441	0.0041
208	13.7608	0.0043
