Cells	Value	Error
101	37082500.0	0.0007
102	4267260.0	0.0016
103	424880.0	0.0029
104	145117.0	0.0036
105	53621.2	0.0044
106	20238.1	0.0052
107	6712.46	0.0058
108	2395.14	0.0063
109	2212.74	0.0063
110	2064.94	0.0063
111	1943.31	0.0063
112	1843.18	0.0064
201	1080.76	0.0066
202	458.753	0.0071
203	178.861	0.0076
204	67.7698	0.0081
205	25.39	0.0086
206	9.44773	0.0092
207	3.4212	0.0097
208	0.975995	0.0102
