-528.000000	-400.000000	0.005287	0.541800
-522.500000	-400.000000	0.003545	0.481600
-517.000000	-400.000000	0.003101	0.174000
-511.500000	-400.000000	0.003315	0.555200
-506.000000	-400.000000	0.005529	0.620700
-500.500000	-400.000000	0.004186	0.512400
-495.000000	-400.000000	0.003647	0.290600
-489.500000	-400.000000	0.004204	0.142000
-484.000000	-400.000000	0.006404	0.129000
-478.500000	-400.000000	0.005897	0.284000
-473.000000	-400.000000	0.007432	0.410400
-467.500000	-400.000000	0.006316	0.530900
-462.000000	-400.000000	0.006635	0.430800
-456.500000	-400.000000	0.010009	0.374100
-451.000000	-400.000000	0.008689	0.417600
-445.500000	-400.000000	0.007255	0.356700
-440.000000	-400.000000	0.005432	0.283100
-434.500000	-400.000000	0.010566	0.221500
-429.000000	-400.000000	0.011146	0.372400
-423.500000	-400.000000	0.013266	0.364600
-418.000000	-400.000000	0.007945	0.292300
-412.500000	-400.000000	0.009821	0.435600
-407.000000	-400.000000	0.009129	0.363900
-401.500000	-400.000000	0.009964	0.404300
-396.000000	-400.000000	0.015264	0.270700
-390.500000	-400.000000	0.012399	0.391000
-385.000000	-400.000000	0.012238	0.229900
-379.500000	-400.000000	0.014704	0.389200
-374.000000	-400.000000	0.015250	0.320200
-368.500000	-400.000000	0.010835	0.269800
-363.000000	-400.000000	0.015122	0.323200
-357.500000	-400.000000	0.014395	0.291700
-352.000000	-400.000000	0.018208	0.350800
-346.500000	-400.000000	0.022389	0.317900
-341.000000	-400.000000	0.020462	0.382800
-335.500000	-400.000000	0.024115	0.378000
-330.000000	-400.000000	0.023901	0.295900
-324.500000	-400.000000	0.027848	0.235400
-319.000000	-400.000000	0.025791	0.313900
-313.500000	-400.000000	0.023993	0.263200
-308.000000	-400.000000	0.023490	0.198200
-302.500000	-400.000000	0.023336	0.301200
-297.000000	-400.000000	0.025261	0.261400
-291.500000	-400.000000	0.027443	0.161100
-286.000000	-400.000000	0.033373	0.265200
-280.500000	-400.000000	0.081114	0.257300
-275.000000	-400.000000	0.041350	0.245200
-269.500000	-400.000000	0.043543	0.266200
-264.000000	-400.000000	0.044595	0.188100
-258.500000	-400.000000	0.051423	0.272400
-253.000000	-400.000000	0.067252	0.281700
-247.500000	-400.000000	0.069595	0.244800
-242.000000	-400.000000	0.070340	0.237900
-236.500000	-400.000000	0.068326	0.283800
-231.000000	-400.000000	0.088366	0.208700
-225.500000	-400.000000	0.062105	0.273400
-220.000000	-400.000000	0.083346	0.258800
-214.500000	-400.000000	0.094496	0.286300
-209.000000	-400.000000	0.109579	0.230600
-203.500000	-400.000000	0.085460	0.243900
-198.000000	-400.000000	0.113108	0.201600
-192.500000	-400.000000	0.207172	0.202100
-187.000000	-400.000000	0.113167	0.204300
-181.500000	-400.000000	0.159639	0.254900
-176.000000	-400.000000	0.105720	0.175100
-170.500000	-400.000000	0.120450	0.225400
-165.000000	-400.000000	0.123068	0.157900
-159.500000	-400.000000	0.168276	0.163600
-154.000000	-400.000000	0.144869	0.166600
-148.500000	-400.000000	0.162316	0.170200
-143.000000	-400.000000	0.192630	0.183000
-137.500000	-400.000000	0.294292	0.157400
-132.000000	-400.000000	0.260602	0.143400
-126.500000	-400.000000	0.201094	0.305300
-121.000000	-400.000000	0.252611	0.157200
-115.500000	-400.000000	0.264675	0.197600
-110.000000	-400.000000	0.217250	0.139000
-104.500000	-400.000000	0.265531	0.175200
-99.000000	-400.000000	0.587749	0.141200
-93.500000	-400.000000	0.269544	0.139500
-88.000000	-400.000000	0.323279	0.136700
-82.500000	-400.000000	0.323875	0.153600
-77.000000	-400.000000	0.360864	0.129600
-71.500000	-400.000000	0.314382	0.306600
-66.000000	-400.000000	0.301014	0.158100
-60.500000	-400.000000	0.394154	0.125900
-55.000000	-400.000000	0.395501	0.141200
-49.500000	-400.000000	0.360154	0.118400
-44.000000	-400.000000	0.512995	0.138300
-38.500000	-400.000000	0.376995	0.125800
-33.000000	-400.000000	0.346377	0.134400
-27.500000	-400.000000	0.456699	0.141600
