Cor C	Cor B	Value	Error
-300.0	-250.0	0.0408499	0.626
-297.0	-250.0	0.0378736	0.5188
-294.0	-250.0	0.510334	0.7711
-291.0	-250.0	0.146716	0.4721
-288.0	-250.0	0.0838004	0.7276
-285.0	-250.0	0.0823909	0.4995
-282.0	-250.0	0.0989019	0.789
-279.0	-250.0	0.0339282	0.4553
-276.0	-250.0	0.0218667	0.4725
-273.0	-250.0	0.0397783	0.4936
-270.0	-250.0	0.085511	0.5952
-267.0	-250.0	0.0286332	0.4805
-264.0	-250.0	0.0208433	0.5226
-261.0	-250.0	0.0113595	0.7211
-258.0	-250.0	0.0185723	0.4709
-255.0	-250.0	0.0696999	0.5544
-252.0	-250.0	0.0190752	0.538
-249.0	-250.0	0.0119639	0.4685
-246.0	-250.0	0.012928	0.4832
-243.0	-250.0	0.0672695	0.3916
-240.0	-250.0	0.0555317	0.3771
-237.0	-250.0	0.024617	0.3839
-234.0	-250.0	0.0161061	0.398
-231.0	-250.0	0.020693	0.3667
-228.0	-250.0	0.0612253	0.6394
-225.0	-250.0	0.0932553	0.3816
-222.0	-250.0	0.207773	0.4905
-219.0	-250.0	0.124349	0.3762
-216.0	-250.0	0.0717417	0.3762
-213.0	-250.0	0.0906903	0.317
-210.0	-250.0	0.185371	0.3982
-207.0	-250.0	0.125009	0.3412
-204.0	-250.0	0.162778	0.4088
-201.0	-250.0	0.136508	0.2886
-198.0	-250.0	0.31043	0.3759
-195.0	-250.0	0.362006	0.4003
-192.0	-250.0	0.115086	0.3064
-189.0	-250.0	0.203994	0.3442
-186.0	-250.0	0.22174	0.2423
-183.0	-250.0	0.259628	0.2334
-180.0	-250.0	0.807367	0.5093
-177.0	-250.0	0.329123	0.2265
-174.0	-250.0	0.36735	0.2694
-171.0	-250.0	0.533376	0.2026
-168.0	-250.0	0.482938	0.2207
-165.0	-250.0	0.587396	0.2086
-162.0	-250.0	0.450262	0.2538
-159.0	-250.0	0.668729	0.183
-156.0	-250.0	0.612359	0.2283
-153.0	-250.0	0.536892	0.1738
-150.0	-250.0	0.625725	0.1617
-147.0	-250.0	0.589346	0.1408
-144.0	-250.0	0.825463	0.1673
-141.0	-250.0	0.941181	0.1653
-138.0	-250.0	1.10429	0.1827
-135.0	-250.0	0.896454	0.1372
-132.0	-250.0	1.46787	0.3253
-129.0	-250.0	1.46161	0.1713
-126.0	-250.0	1.19127	0.2047
-123.0	-250.0	1.76849	0.2066
-120.0	-250.0	1.54487	0.1436
-117.0	-250.0	2.15183	0.1481
-114.0	-250.0	1.73002	0.1107
-111.0	-250.0	2.72408	0.3168
-108.0	-250.0	3.91038	0.2588
-105.0	-250.0	3.86656	0.2693
-102.0	-250.0	1.9447	0.1024
-99.0	-250.0	3.03922	0.1134
-96.0	-250.0	2.60615	0.1008
-93.0	-250.0	2.33959	0.1193
