Segments	Energy	Value	Error
2	1.26276	0.0006704	0.0009
2	1.40705	0.000678438	0.001
2	1.56783	0.000683298	0.001
2	1.74699	0.000694808	0.0011
2	1.94661	0.000702192	0.0011
2	2.16905	0.000709515	0.0012
2	2.4169	0.000713432	0.0012
2	2.69307	0.000726305	0.0013
2	3.00081	0.000737686	0.0013
2	3.3437	0.000749152	0.0014
2	3.72578	0.000759917	0.0014
2	4.15152	0.000780864	0.0015
2	4.6259	0.000802377	0.0015
2	5.1545	0.00082757	0.0016
2	5.74349	0.000852472	0.0016
2	6.39979	0.000889596	0.0017
2	7.13108	0.000932624	0.0017
2	7.94594	0.000983493	0.0017
2	8.8539	0.00103501	0.0017
2	9.86562	0.00111597	0.0017
2	10.9929	0.00120322	0.0017
2	12.2491	0.00130604	0.0017
2	13.6488	0.00142622	0.0017
2	15.2084	0.00157895	0.0017
2	16.9462	0.0017634	0.0016
2	18.8826	0.0020023	0.0016
2	21.0403	0.00229529	0.0015
2	23.4446	0.00269677	0.0014
2	26.1235	0.00325601	0.0013
2	29.1086	0.00405877	0.0012
2	32.4348	0.00526351	0.001
2	36.1411	0.00727814	0.0009
2	40.2708	0.0113039	0.0007
2	44.8725	0.0247802	0.0004
2	50.0	0.00761125	0.0007
3	0.001	0.0	0.0
3	0.00111427	1.52795e-05	0.0002
3	0.00124159	1.60956e-05	0.0002
3	0.00138347	1.69219e-05	0.0002
3	0.00154155	1.78965e-05	0.0002
3	0.0017177	1.91516e-05	0.0002
3	0.00191398	2.0277e-05	0.0002
3	0.00213269	2.14516e-05	0.0002
3	0.00237639	2.28207e-05	0.0002
3	0.00264793	2.45924e-05	0.0002
3	0.00295051	2.61666e-05	0.0002
3	0.00328766	2.78124e-05	0.0002
3	0.00366333	2.97027e-05	0.0002
3	0.00408194	3.21639e-05	0.0002
3	0.00454837	3.43488e-05	0.0002
3	0.0050681	3.66437e-05	0.0002
3	0.00564723	3.92442e-05	0.0002
3	0.00629252	4.26624e-05	0.0002
3	0.00701156	4.56944e-05	0.0002
3	0.00781276	4.88903e-05	0.0002
3	0.00870551	5.24799e-05	0.0002
3	0.00970027	5.71704e-05	0.0002
3	0.0108087	6.13611e-05	0.0002
3	0.0120438	6.57983e-05	0.0002
3	0.01342	7.07068e-05	0.0002
3	0.0149535	7.72418e-05	0.0002
3	0.0166622	8.30176e-05	0.0002
3	0.0185662	8.91405e-05	0.0002
3	0.0206877	9.58215e-05	0.0002
3	0.0230516	0.000104761	0.0002
3	0.0256857	0.000112613	0.0002
3	0.0286207	0.000120912	0.0002
3	0.0318912	0.000129829	0.0002
3	0.0355353	0.000141751	0.0002
3	0.0395959	0.000152118	0.0003
3	0.0441204	0.000163007	0.0003
3	0.049162	0.000174509	0.0003
3	0.0547796	0.000189931	0.0003
3	0.0610392	0.000203125	0.0003
3	0.068014	0.000216937	0.0003
3	0.0757858	0.000231357	0.0003
3	0.0844457	0.000250942	0.0003
3	0.0940952	0.00026763	0.0003
3	0.104847	0.000284997	0.0003
3	0.116828	0.000302692	0.0004
3	0.130178	0.00032632	0.0004
3	0.145053	0.000346133	0.0004
3	0.161628	0.000366345	0.0004
3	0.180097	0.000386321	0.0004
3	0.200676	0.000413023	0.0004
3	0.223607	0.000434654	0.0005
3	0.249158	0.000456262	0.0005
3	0.277629	0.000476348	0.0005
3	0.309353	0.000503304	0.0005
3	0.344702	0.00052382	0.0005
3	0.38409	0.000543911	0.0006
3	0.42798	0.00056233	0.0006
3	0.476884	0.00058775	0.0006
3	0.531377	0.000606729	0.0006
3	0.592096	0.000624983	0.0007
3	0.659754	0.000639682	0.0007
3	0.735143	0.000661905	0.0007
3	0.819146	0.00067817	0.0008
3	0.912748	0.000693231	0.0008
3	1.01705	0.000704759	0.0008
3	1.13326	0.000723402	0.0009
3	1.26276	0.000737262	0.0009
3	1.40705	0.000750967	0.0009
3	1.56783	0.000760844	0.001
3	1.74699	0.000778386	0.001
3	1.94661	0.000792531	0.0011
3	2.16905	0.000807444	0.0011
3	2.4169	0.000818729	0.0011
3	2.69307	0.000839132	0.0012
3	3.00081	0.000857531	0.0012
3	3.3437	0.000877001	0.0013
3	3.72578	0.000895009	0.0013
3	4.15152	0.000924913	0.0014
3	4.6259	0.000956076	0.0014
3	5.1545	0.000991265	0.0014
3	5.74349	0.00102744	0.0015
3	6.39979	0.00108129	0.0015
3	7.13108	0.0011386	0.0015
3	7.94594	0.00120455	0.0015
3	8.8539	0.00127758	0.0016
3	9.86562	0.00137738	0.0016
3	10.9929	0.00148722	0.0016
3	12.2491	0.00161618	0.0015
3	13.6488	0.00175789	0.0015
3	15.2084	0.00195242	0.0015
3	16.9462	0.0021844	0.0014
3	18.8826	0.00247434	0.0014
3	21.0403	0.00284823	0.0013
3	23.4446	0.00335744	0.0012
3	26.1235	0.00405634	0.0011
3	29.1086	0.00506104	0.001
3	32.4348	0.00654403	0.0009
3	36.1411	0.0090986	0.0008
3	40.2708	0.0144777	0.0006
3	44.8725	0.0181388	0.0005
3	50.0	1.01748e-05	0.0095
4	0.001	0.0	0.0
4	0.00111427	1.52225e-05	0.0002
4	0.00124159	1.6035e-05	0.0002
4	0.00138347	1.68584e-05	0.0002
4	0.00154155	1.78307e-05	0.0002
4	0.0017177	1.90803e-05	0.0002
4	0.00191398	2.02032e-05	0.0002
4	0.00213269	2.13725e-05	0.0002
4	0.00237639	2.27393e-05	0.0002
4	0.00264793	2.4503e-05	0.0002
4	0.00295051	2.60741e-05	0.0002
4	0.00328766	2.77147e-05	0.0002
4	0.00366333	2.96001e-05	0.0002
4	0.00408194	3.20524e-05	0.0002
4	0.00454837	3.42342e-05	0.0002
4	0.0050681	3.65234e-05	0.0002
4	0.00564723	3.91215e-05	0.0002
4	0.00629252	4.25323e-05	0.0002
4	0.00701156	4.55619e-05	0.0002
4	0.00781276	4.87519e-05	0.0002
4	0.00870551	5.23402e-05	0.0002
4	0.00970027	5.70262e-05	0.0002
4	0.0108087	6.12088e-05	0.0002
4	0.0120438	6.56498e-05	0.0002
4	0.01342	7.05673e-05	0.0002
4	0.0149535	7.71051e-05	0.0002
4	0.0166622	8.28927e-05	0.0002
4	0.0185662	8.90318e-05	0.0002
4	0.0206877	9.57381e-05	0.0002
4	0.0230516	0.000104692	0.0002
4	0.0256857	0.000112606	0.0002
4	0.0286207	0.000120947	0.0002
4	0.0318912	0.000129932	0.0003
4	0.0355353	0.000141919	0.0003
4	0.0395959	0.000152386	0.0003
