Segments	Energy	Value	Error
1	1e-05	0.0	0.0
1	1.16678e-05	0.0	0.0
1	1.36138e-05	0.0	0.0
1	1.58843e-05	0.0	0.0
1	1.85336e-05	0.0	0.0
1	2.16246e-05	0.0	0.0
1	2.52312e-05	0.0	0.0
1	2.94393e-05	0.0	0.0
1	3.43493e-05	0.0	0.0
1	4.00781e-05	0.0	0.0
1	4.67624e-05	0.0	0.0
1	5.45616e-05	0.0	0.0
1	6.36614e-05	0.0	0.0
1	7.4279e-05	0.0	0.0
1	8.66674e-05	0.0	0.0
1	0.000101122	0.0	0.0
1	0.000117987	0.0	0.0
1	0.000137665	0.0	0.0
1	0.000160626	0.0	0.0
1	0.000187415	0.0	0.0
1	0.000218672	0.0	0.0
1	0.000255143	0.0	0.0
1	0.000297696	0.0	0.0
1	0.000347347	0.0	0.0
1	0.000405278	0.0	0.0
1	0.000472871	0.0	0.0
1	0.000551737	0.0	0.0
1	0.000643757	0.0	0.0
1	0.000751124	0.0	0.0
1	0.000876398	0.0	0.0
1	0.00102257	1.57274e-07	0.0078
1	0.00119311	1.34877e-06	0.003
1	0.0013921	1.89303e-06	0.003
1	0.00162428	2.5514e-06	0.003
1	0.00189518	4.06653e-07	0.0031
1	0.00221126	5.96067e-07	0.0031
1	0.00258006	8.68296e-07	0.0031
1	0.00301036	1.28614e-06	0.0031
1	0.00351244	1.92061e-06	0.0032
1	0.00409825	2.89611e-06	0.0032
1	0.00478176	4.43833e-06	0.0032
1	0.00557927	6.80404e-06	0.0032
1	0.0065098	1.08355e-05	0.0031
1	0.00759551	1.56675e-05	0.0032
1	0.00886231	2.94908e-05	0.0029
1	0.0103404	3.67104e-05	0.0032
1	0.012065	5.57343e-05	0.0033
1	0.0140772	8.42564e-05	0.0033
1	0.016425	0.000130716	0.0033
1	0.0191644	0.00019824	0.0033
1	0.0223607	0.000297937	0.0032
1	0.02609	0.000433227	0.0031
1	0.0304414	0.000615753	0.003
1	0.0355185	0.000866492	0.0029
1	0.0414423	0.00126753	0.0026
1	0.0483541	0.0020073	0.0023
1	0.0564187	0.00392676	0.0018
1	0.0658283	0.00569099	0.0015
1	0.0768073	0.00328923	0.0019
1	0.0896174	0.00355729	0.0019
1	0.104564	0.00418274	0.0017
1	0.122003	0.00485369	0.0016
1	0.142351	0.00553939	0.0015
1	0.166093	0.00615736	0.0014
1	0.193794	0.00673263	0.0013
1	0.226116	0.00700666	0.0013
1	0.263828	0.00698674	0.0013
1	0.307829	0.00649809	0.0013
1	0.35917	0.00614194	0.0014
1	0.419073	0.00597222	0.0014
1	0.488966	0.00584583	0.0014
1	0.570517	0.00952761	0.0012
1	0.665669	0.00526149	0.0013
1	0.776691	0.0051181	0.0013
1	0.906229	0.00501025	0.0013
1	1.05737	0.00489378	0.0013
1	1.23372	0.004819	0.0013
1	1.43948	0.00474031	0.0013
1	1.67956	0.00465198	0.0014
1	1.95969	0.00456546	0.0014
1	2.28653	0.00448797	0.0014
1	2.66788	0.00439703	0.0014
1	3.11283	0.00431462	0.0014
1	3.63199	0.00424268	0.0014
1	4.23774	0.00414092	0.0014
1	4.94452	0.00403559	0.0014
1	5.76918	0.00395236	0.0014
1	6.73138	0.00382972	0.0015
1	7.85405	0.00371145	0.0015
1	9.16396	0.00356673	0.0015
1	10.6923	0.00343213	0.0015
1	12.4756	0.00327722	0.0016
1	14.5563	0.00311861	0.0016
1	16.9841	0.00295037	0.0016
1	19.8167	0.00278047	0.0017
1	23.1218	0.00259357	0.0017
1	26.9781	0.00241426	0.0018
1	31.4775	0.00221809	0.0019
1	36.7274	0.00199368	0.002
1	42.8529	0.00166682	0.0022
1	50.0	0.000865901	0.003
2	1e-05	0.0	0.0
2	1.16678e-05	0.0	0.0
2	1.36138e-05	0.0	0.0
2	1.58843e-05	0.0	0.0
2	1.85336e-05	0.0	0.0
2	2.16246e-05	0.0	0.0
2	2.52312e-05	0.0	0.0
2	2.94393e-05	0.0	0.0
2	3.43493e-05	0.0	0.0
2	4.00781e-05	0.0	0.0
2	4.67624e-05	0.0	0.0
2	5.45616e-05	0.0	0.0
2	6.36614e-05	0.0	0.0
2	7.4279e-05	0.0	0.0
2	8.66674e-05	0.0	0.0
2	0.000101122	0.0	0.0
2	0.000117987	0.0	0.0
2	0.000137665	0.0	0.0
2	0.000160626	0.0	0.0
2	0.000187415	0.0	0.0
2	0.000218672	0.0	0.0
2	0.000255143	0.0	0.0
2	0.000297696	0.0	0.0
2	0.000347347	0.0	0.0
2	0.000405278	0.0	0.0
2	0.000472871	0.0	0.0
2	0.000551737	0.0	0.0
2	0.000643757	0.0	0.0
2	0.000751124	0.0	0.0
2	0.000876398	0.0	0.0
2	0.00102257	1.58279e-07	0.0078
2	0.00119311	1.37578e-06	0.003
2	0.0013921	1.95867e-06	0.003
2	0.00162428	2.67509e-06	0.0029
2	0.00189518	4.17755e-07	0.003
2	0.00221126	6.07069e-07	0.0031
2	0.00258006	8.91677e-07	0.0031
2	0.00301036	1.32143e-06	0.0031
2	0.00351244	1.97648e-06	0.0031
2	0.00409825	2.97424e-06	0.0031
2	0.00478176	4.54721e-06	0.0031
2	0.00557927	7.03715e-06	0.0031
2	0.0065098	1.12222e-05	0.0031
2	0.00759551	1.61205e-05	0.0032
2	0.00886231	2.90341e-05	0.003
2	0.0103404	3.79735e-05	0.0032
2	0.012065	5.79274e-05	0.0032
2	0.0140772	9.00281e-05	0.0032
2	0.016425	0.000143236	0.0032
2	0.0191644	0.000225186	0.0031
2	0.0223607	0.000358804	0.003
2	0.02609	0.00057068	0.0028
2	0.0304414	0.000889291	0.0026
2	0.0355185	0.00134568	0.0024
2	0.0414423	0.00200138	0.0021
2	0.0483541	0.00296188	0.0019
2	0.0564187	0.0045782	0.0016
2	0.0658283	0.00584745	0.0014
2	0.0768073	0.0050561	0.0015
2	0.0896174	0.00555221	0.0015
2	0.104564	0.00619638	0.0014
2	0.122003	0.00682026	0.0013
2	0.142351	0.007419	0.0013
2	0.166093	0.00786722	0.0012
2	0.193794	0.00835991	0.0012
2	0.226116	0.00849374	0.0012
2	0.263828	0.00836667	0.0012
2	0.307829	0.00776814	0.0012
2	0.35917	0.00729626	0.0012
2	0.419073	0.00704786	0.0012
2	0.488966	0.00687894	0.0012
2	0.570517	0.0109499	0.0011
2	0.665669	0.00620702	0.0012
2	0.776691	0.006042	0.0012
