Mn55	1.87E-09
Mn56	1.80E-06
Fe55	3.75E-09
Fe56	1.31E-08
Fe57	3.75E-09
Fe58	4.25E-07
Fe60	1.87E-09
Co57	1.50E-08
Co58	1.72E-06
Co59	2.29E-05
Co60	1.87E-05
Co61	5.99E-06
Co62	6.03E-06
Co63	6.56E-08
Co64	1.12E-08
Ni57	3.75E-09
Ni58	9.93E-08
Ni59	3.88E-07
Ni60	2.10E-06
Ni61	3.52E-05
Ni62	1.80E-04
Ni63	1.60E-04
Ni64	1.05E-05
Ni65	4.88E-06
Cu60	1.69E-08
Cu61	1.10E-05
Cu62	2.17E-04
Cu63	5.04E-05
Cu64	2.37E-04
Cu65	8.74E-06
Cu66	2.53E-05
Zn61	2.43E-08
Zn62	1.30E-06
Zn63	6.48E-06
Zn64	3.98E-06
Zn65	4.84E-06
Zn66	2.60E-07
