EnergyMid,Intensity
275.523,20.37
300.26300000000003,145.5
397.072,8.73
481.82849999999996,400896000.0
513.926,12175972480000.0
724.896,17000000000.0
789.9865,247.8
860.9214999999999,17346.0
879.6289999999999,41480000.0
979.443,280840.0
1022.4715,248455000.0
1067.3895,2478.0
1640.7485000000001,146120000.0
1750.0475000000001,9994600.0
1948.6315,3138800.0
2169.7484999999997,4352000.0
2314.288,279280280000.0
2748.5585,67732000.0
2808.2835,10738000.0
3876.8605,95200.0
3961.103,5929100.0
6088.85,5534200000.0
6927.092500000001,3138800.0
7077.615,404740000.0
8774.986499999999,6277600.0
