Cor C	Cor B	Value	Error
-300.0	-250.0	0.00770455	0.6223
-297.0	-250.0	0.00574337	0.6436
-294.0	-250.0	0.0220626	0.5986
-291.0	-250.0	0.00348911	0.7321
-288.0	-250.0	0.000266841	0.6379
-285.0	-250.0	0.0011886	0.5855
-282.0	-250.0	0.00464528	0.8386
-279.0	-250.0	0.000109649	0.6839
-276.0	-250.0	0.00176162	0.8409
-273.0	-250.0	0.0388252	0.9828
-270.0	-250.0	0.0113349	0.6732
-267.0	-250.0	0.0134069	0.7602
-264.0	-250.0	0.000446063	0.6322
-261.0	-250.0	0.00233621	0.6472
-258.0	-250.0	0.00304448	0.5298
-255.0	-250.0	0.0183491	0.9835
-252.0	-250.0	0.0240876	0.9351
-249.0	-250.0	0.00153177	0.7459
-246.0	-250.0	0.00613022	0.6812
-243.0	-250.0	0.00837317	0.6518
-240.0	-250.0	0.033978	0.6915
-237.0	-250.0	0.0141771	0.6366
-234.0	-250.0	0.00804814	0.7445
-231.0	-250.0	0.00584311	0.8396
-228.0	-250.0	0.0158803	0.6441
-225.0	-250.0	0.0331775	0.8453
-222.0	-250.0	0.0156146	0.8152
-219.0	-250.0	0.0189869	0.5311
-216.0	-250.0	0.0332708	0.5634
-213.0	-250.0	0.0467818	0.6243
-210.0	-250.0	0.0396668	0.4925
-207.0	-250.0	0.037759	0.6737
-204.0	-250.0	0.0394888	0.6615
-201.0	-250.0	0.0896507	0.4482
-198.0	-250.0	0.082582	0.3617
-195.0	-250.0	0.0615926	0.4924
-192.0	-250.0	0.2008	0.6961
-189.0	-250.0	0.0890887	0.7658
-186.0	-250.0	0.0224182	0.3689
-183.0	-250.0	0.0464488	0.3147
-180.0	-250.0	0.0240862	0.4473
-177.0	-250.0	0.0987017	0.3433
-174.0	-250.0	0.188658	0.6961
-171.0	-250.0	0.30319	0.6667
-168.0	-250.0	0.110036	0.304
-165.0	-250.0	0.101346	0.3164
-162.0	-250.0	0.158438	0.2737
-159.0	-250.0	0.193427	0.4001
-156.0	-250.0	0.224258	0.4163
-153.0	-250.0	0.115868	0.2827
-150.0	-250.0	0.129663	0.3575
-147.0	-250.0	0.238168	0.2836
-144.0	-250.0	0.11218	0.2022
-141.0	-250.0	0.228342	0.2465
-138.0	-250.0	0.191963	0.2264
-135.0	-250.0	0.21852	0.2052
-132.0	-250.0	0.338495	0.3109
-129.0	-250.0	0.357681	0.2674
-126.0	-250.0	0.316049	0.3404
-123.0	-250.0	0.352354	0.2273
-120.0	-250.0	1.50381	0.6637
-117.0	-250.0	0.3399	0.1696
-114.0	-250.0	0.303425	0.1811
-111.0	-250.0	0.43879	0.2146
-108.0	-250.0	0.712498	0.2582
-105.0	-250.0	0.580125	0.2372
-102.0	-250.0	0.865024	0.4349
-99.0	-250.0	0.593344	0.1843
-96.0	-250.0	0.708628	0.2049
-93.0	-250.0	0.683655	0.1876
-90.0	-250.0	0.795025	0.2275
-87.0	-250.0	1.86882	0.4333
-84.0	-250.0	0.625785	0.1544
-81.0	-250.0	1.17525	0.1788
-78.0	-250.0	0.866029	0.1153
-75.0	-250.0	1.64805	0.4779
-72.0	-250.0	1.00812	0.1548
-69.0	-250.0	1.01698	0.1465
-66.0	-250.0	1.08841	0.1214
-63.0	-250.0	1.78038	0.3089
-60.0	-250.0	1.93615	0.1823
-57.0	-250.0	1.4316	0.152
-54.0	-250.0	1.5703	0.2373
-51.0	-250.0	2.64204	0.3724
-48.0	-250.0	1.54237	0.1265
-45.0	-250.0	2.29753	0.2035
-42.0	-250.0	1.51937	0.1149
-39.0	-250.0	1.81603	0.1359
-36.0	-250.0	1.85698	0.1443
-33.0	-250.0	1.67308	0.1106
-30.0	-250.0	1.67636	0.1167
-27.0	-250.0	1.62835	0.116
-24.0	-250.0	1.65393	0.0984
-21.0	-250.0	3.58469	0.3097
-18.0	-250.0	1.53175	0.0945
-15.0	-250.0	2.07625	0.1029
-12.0	-250.0	2.57864	0.1162
-9.0	-250.0	2.35531	0.1303
-6.0	-250.0	1.98463	0.1008
-3.0	-250.0	1.9025	0.1187
0.0	-250.0	2.08862	0.1282
3.0	-250.0	1.85035	0.1207
6.0	-250.0	2.29815	0.1739
9.0	-250.0	1.84449	0.1063
12.0	-250.0	2.19946	0.1296
15.0	-250.0	1.57518	0.1113
18.0	-250.0	1.84002	0.1196
21.0	-250.0	1.75187	0.1145
24.0	-250.0	2.25951	0.1663
27.0	-250.0	2.08477	0.1655
30.0	-250.0	2.16965	0.1349
33.0	-250.0	1.91642	0.1797
36.0	-250.0	1.64309	0.1207
