He6	4.32E-08
Li6	1.16E-06
Li7	5.70E-07
Li8	3.09E-08
Be7	4.98E-07
Be9	2.06E-07
Be10	3.91E-08
Be11	2.06E-09
B8	8.02E-08
B10	3.74E-07
B11	4.53E-07
B12	1.44E-08
C9	2.06E-09
C10	2.26E-08
C11	3.23E-07
C12	3.44E-06
C13	6.07E-07
C14	8.44E-08
N12	6.17E-09
N13	2.43E-07
N14	2.96E-06
N15	1.31E-06
N16	2.06E-08
O13	6.17E-09
O14	9.88E-08
O15	8.48E-07
O16	9.33E-06
O17	5.47E-07
O18	1.21E-07
O19	2.06E-09
F15	8.23E-09
F16	5.14E-08
F17	4.73E-08
F18	1.53E-06
F19	1.26E-06
F20	3.11E-07
F21	5.97E-08
F22	2.06E-09
Ne18	1.03E-08
Ne19	3.77E-07
Ne20	6.17E-06
Ne21	3.98E-06
Ne22	3.42E-06
Ne23	8.85E-08
Ne24	1.65E-08
Na20	2.26E-08
Na21	2.39E-07
Na22	4.19E-06
Na23	6.79E-06
Na24	1.49E-06
Na25	4.03E-07
Mg21	2.06E-09
Mg22	4.12E-08
Mg23	8.09E-07
Mg24	1.41E-05
Mg25	1.15E-05
Mg26	1.35E-05
Mg27	1.85E-07
Al23	2.06E-09
Al24	2.88E-08
Al25	1.21E-06
Al26	1.21E-05
Al27	1.58E-04
Al28	2.06E-08
Al29	2.06E-09
Al30	4.12E-09
Al31	2.06E-09
Si25	1.23E-08
Si26	4.65E-07
Si27	2.97E-06
Si28	9.67E-08
Si29	4.53E-08
Si30	1.67E-07
Si31	3.91E-08
Si32	1.44E-08
Si33	4.12E-09
P29	4.12E-09
P30	3.50E-08
P31	3.25E-07
P32	4.49E-07
P33	4.05E-07
P34	1.07E-07
P35	1.23E-08
S31	2.06E-09
S32	2.84E-07
S33	8.11E-07
S34	2.55E-06
S35	1.20E-06
S36	6.17E-07
S37	2.67E-08
S39	2.06E-09
Cl33	8.23E-09
Cl34	2.20E-07
Cl35	3.36E-06
Cl36	6.37E-06
Cl37	5.39E-06
Cl38	1.42E-06
Cl39	2.82E-07
Cl40	4.53E-08
Cl41	6.17E-09
Ar35	1.44E-08
Ar36	1.96E-06
Ar37	6.54E-06
Ar38	2.42E-05
Ar39	8.94E-06
Ar40	5.04E-06
Ar41	8.46E-07
Ar42	1.91E-07
Ar43	1.03E-08
Ar44	2.06E-09
K37	1.44E-08
K38	1.96E-06
K39	2.40E-05
K40	2.96E-05
K41	2.98E-05
K42	1.36E-05
K43	4.66E-06
K44	8.09E-07
K45	1.30E-07
K46	6.17E-09
Ca38	4.12E-09
Ca39	6.58E-08
Ca40	1.21E-05
Ca41	2.83E-05
Ca42	8.08E-05
Ca43	6.71E-05
Ca44	6.51E-05
Ca45	1.22E-05
Ca46	4.46E-06
Ca47	4.03E-07
Ca48	9.46E-08
Sc41	4.53E-08
Sc42	3.26E-06
Sc43	2.57E-05
Sc44	7.88E-05
Sc45	1.14E-04
Sc46	6.73E-05
Sc47	6.32E-05
Sc48	5.71E-06
Sc49	3.14E-06
Ti43	1.52E-07
Ti44	1.62E-05
Ti45	4.45E-05
Ti46	3.12E-04
Ti47	2.97E-04
Ti48	1.63E-03
Ti49	1.29E-04
Ti50	1.19E-04
Ti51	2.06E-08
V44	1.44E-08
V45	2.51E-07
V46	4.70E-06
V47	1.30E-05
V48	2.56E-05
V49	8.44E-06
V50	8.17E-06
V51	9.54E-05
V52	5.14E-08
V53	2.06E-09
Cr48	1.17E-07
Cr49	5.58E-07
Cr50	1.92E-06
Cr51	1.72E-06
Cr52	4.18E-07
Cr53	1.15E-07
Cr54	2.26E-08
Mn50	4.12E-09
Mn51	7.82E-08
Mn52	2.67E-07
Mn53	4.96E-07
Mn54	3.72E-07
Mn55	2.33E-07
Mn56	2.06E-09
Fe52	1.03E-08
Fe53	8.23E-08
Fe54	9.71E-07
Fe55	6.09E-07
Fe56	8.80E-06
Fe57	2.02E-07
Fe58	4.73E-08
Co54	8.23E-09
Co55	4.53E-08
Co56	9.88E-08
Co57	4.12E-09
Co58	2.06E-09
