He6	1.34E-07
Li7	2.67E-08
Be9	6.17E-09
Cl43	2.06E-09
Ar42	2.06E-09
Ar45	2.06E-09
Ar46	2.06E-09
K36	2.06E-09
K45	2.06E-09
K47	2.06E-09
K49	8.23E-09
K50	2.06E-09
Ca46	4.12E-09
Ca47	2.06E-09
Ca48	6.17E-09
Ca49	8.23E-09
Ca50	1.23E-08
Ca51	6.17E-09
Sc40	2.06E-09
Sc41	6.17E-09
Sc48	4.12E-09
Sc49	1.03E-08
Sc50	2.06E-08
Sc51	2.88E-08
Ti41	1.85E-08
Ti42	6.17E-09
Ti43	1.23E-08
Ti44	6.17E-09
Ti45	8.23E-09
Ti50	2.06E-09
Ti51	1.23E-08
Ti52	3.91E-08
Ti53	4.53E-08
Ti54	5.14E-08
V44	3.50E-08
V45	2.88E-08
V46	1.65E-08
V47	1.23E-08
V48	2.06E-09
V49	2.06E-09
V52	2.06E-09
V53	1.65E-08
V54	3.29E-08
V55	6.17E-08
V56	7.61E-08
Cr45	1.09E-07
Cr46	8.64E-08
Cr47	5.35E-08
Cr48	2.06E-08
Cr49	1.85E-08
Cr50	8.23E-09
Cr51	2.06E-09
Cr52	4.12E-09
Cr54	8.23E-09
Cr55	2.26E-08
Cr56	7.82E-08
Cr57	9.05E-08
Cr58	2.39E-07
Cr59	1.40E-07
Mn49	2.22E-07
Mn50	1.19E-07
Mn51	1.23E-07
Mn52	3.91E-08
Mn53	5.97E-08
Mn54	4.12E-09
Mn55	2.06E-09
Mn56	6.17E-09
Mn57	3.91E-08
Mn58	7.82E-08
Mn59	1.83E-07
Mn60	2.96E-07
Mn61	5.14E-07
Mn62	4.01E-07
Fe49	4.94E-07
Fe50	2.74E-07
Fe51	2.12E-07
Fe52	1.38E-07
Fe53	4.94E-08
Fe54	6.17E-09
Fe55	2.06E-09
Fe56	2.06E-09
Fe58	1.23E-08
Fe59	3.70E-08
Fe60	1.21E-07
Fe61	2.98E-07
Fe62	7.49E-07
Fe63	8.29E-07
Fe64	1.34E-06
Co53	1.05E-06
Co54	1.27E-06
Co55	6.56E-07
Co56	6.73E-07
Co57	2.02E-07
Co58	1.21E-07
Co59	3.29E-08
Co60	8.23E-09
