He6	3.29E-08
Li6	2.29E-06
Li7	5.27E-07
Li8	6.17E-09
Be7	7.10E-07
Be9	1.42E-07
Be10	4.12E-09
B8	2.06E-09
B10	3.00E-07
B11	9.05E-08
C10	6.17E-09
C11	9.67E-08
C12	1.18E-06
C13	5.14E-08
C14	1.85E-08
N12	2.06E-09
N13	4.12E-08
N14	1.50E-07
N15	7.41E-08
O14	4.12E-09
O15	4.12E-08
O16	5.08E-07
O17	4.73E-08
O18	8.23E-09
O19	2.06E-09
F17	1.44E-08
F18	1.44E-07
F19	5.56E-08
F20	2.06E-09
Ne19	1.65E-08
Ne20	8.79E-07
Ne21	6.58E-08
Ne22	1.69E-07
Na21	6.17E-09
Na22	1.65E-07
Na23	1.49E-06
Na24	1.85E-08
Na25	8.23E-09
Mg23	7.41E-08
Mg24	1.37E-05
Mg25	1.26E-06
Mg26	1.13E-05
Mg27	2.47E-08
Mg28	2.06E-08
Al25	3.70E-08
Al26	7.58E-06
Al27	5.25E-05
Al28	6.69E-06
Al29	4.32E-06
Al30	3.50E-08
Si26	4.12E-09
Si27	2.79E-06
Si28	1.27E-04
Si29	3.69E-04
Si30	3.30E-04
Si31	1.64E-05
Si32	4.89E-06
Si33	4.12E-09
Si34	2.06E-09
P28	1.44E-08
P29	1.17E-05
P30	3.15E-04
P31	6.07E-04
P32	3.98E-04
P33	1.48E-04
P34	9.15E-06
P35	1.49E-06
S30	8.81E-07
S31	3.54E-05
S32	8.64E-04
S33	1.40E-03
S34	1.58E-03
S35	2.79E-04
S36	1.44E-04
S37	6.85E-07
Cl32	7.39E-07
Cl33	6.17E-05
Cl34	9.45E-04
Cl35	1.35E-02
Cl36	4.79E-04
Cl37	4.32E-03
Cl38	3.70E-08
Ar33	8.02E-08
Ar34	1.88E-05
Ar35	2.76E-04
Ar36	7.91E-05
Ar37	1.05E-04
Ar38	1.01E-06
Ga71	2.06E-09
Ge71	2.06E-09
Ge73	8.23E-09
Ge74	4.12E-09
As75	6.17E-09
As76	8.23E-08
As77	1.85E-08
As78	2.06E-09
Se75	2.41E-07
Se76	2.07E-06
Se77	6.36E-07
Se78	7.96E-07
Se79	3.00E-07
Se80	6.79E-08
Se81	2.06E-08
Se82	8.23E-09
Br77	2.22E-07
Br78	6.14E-06
Br79	2.71E-05
Br80	1.12E-05
Br81	8.31E-06
Br82	3.30E-06
Br83	9.01E-07
Br84	2.12E-07
Br85	7.20E-08
Kr77	6.17E-09
Kr78	3.23E-05
Kr79	8.98E-05
Kr80	1.02E-04
Kr81	1.25E-04
Kr82	3.06E-04
Kr83	1.27E-04
Kr84	1.63E-04
Kr85	3.07E-05
Kr86	4.02E-05
Kr87	2.61E-07
Rb79	2.67E-08
Rb80	5.47E-06
Rb81	3.21E-04
Rb82	7.18E-04
Rb83	9.52E-04
Rb84	1.01E-03
Rb85	6.70E-03
Rb86	2.90E-04
Rb87	2.46E-03
Rb88	5.12E-07
Sr80	1.23E-06
Sr81	8.39E-05
Sr82	5.90E-04
Sr83	4.20E-04
Sr84	6.39E-04
Sr85	3.17E-04
Sr86	1.32E-04
Sr87	7.10E-05
