Li6	4.12E-09
Fe58	6.17E-09
Co61	2.67E-08
Co62	8.23E-09
Ni60	5.56E-08
Ni61	5.58E-06
Ni62	1.04E-05
Ni63	7.57E-07
Ni64	9.36E-07
Ni65	4.12E-09
Cu62	2.06E-09
Cu63	4.29E-06
Cu64	5.26E-05
Cu65	3.70E-05
Cu66	1.11E-05
Cu67	2.01E-06
Cu68	2.74E-07
Cu69	2.67E-08
Zn63	5.16E-07
Zn64	3.59E-04
Zn65	4.59E-04
Zn66	5.89E-04
Zn67	3.27E-04
Zn68	2.03E-04
Zn69	7.38E-05
Zn70	4.23E-05
Zn71	1.18E-06
Ga65	1.11E-07
Ga66	2.54E-05
Ga67	1.53E-03
Ga68	2.05E-03
Ga69	1.17E-02
Ga70	1.19E-03
Ga71	6.95E-03
Ga72	8.71E-06
Ge66	7.65E-06
Ge67	2.10E-04
Ge68	2.33E-03
Ge69	2.40E-03
Ge70	2.03E-03
Ge71	9.00E-04
Ge72	8.33E-07
