Li6	8.02E-08
Li7	3.50E-08
Be7	6.17E-08
Be9	1.44E-08
Be10	4.12E-09
B8	2.06E-09
B10	6.79E-08
B11	8.85E-08
C9	4.12E-09
C10	4.12E-09
C11	6.38E-08
C12	1.31E-06
N12	4.12E-09
N14	2.06E-09
O16	7.41E-08
F18	6.17E-09
F19	1.23E-08
Ne19	4.12E-09
Ne20	1.98E-07
Ne21	2.06E-08
Ne22	7.41E-08
Na21	2.06E-09
Na22	1.54E-07
Na23	2.57E-07
Na24	2.06E-09
Na25	2.06E-09
Mg22	2.06E-09
Mg23	8.23E-08
Mg24	8.25E-07
Mg25	5.72E-07
Mg26	3.31E-07
Mg27	6.17E-09
Al24	2.06E-09
Al25	9.26E-08
Al26	7.12E-07
Al27	1.00E-06
Al28	9.88E-08
Al29	2.06E-08
Si26	4.73E-08
Si27	7.72E-07
Si28	1.26E-05
Si29	7.86E-07
Si30	4.86E-07
Si31	8.23E-09
P27	1.03E-08
P28	9.26E-08
P29	1.23E-08
P30	6.79E-08
P31	5.95E-07
P32	2.06E-09
S30	4.12E-09
S31	3.70E-08
S32	3.42E-07
S33	6.17E-09
S34	2.47E-08
Cl32	2.06E-09
Ar38	4.12E-09
Ar40	4.12E-09
Ar41	2.06E-09
K40	1.44E-08
K41	1.03E-08
K43	1.03E-08
Ca40	4.12E-09
Ca41	1.65E-08
Ca42	2.67E-08
Ca43	2.22E-07
Ca44	1.32E-07
Ca45	8.23E-09
Ca46	1.44E-08
Ca47	2.06E-09
Sc43	9.88E-08
Sc44	2.70E-07
Sc45	4.67E-07
Sc46	7.70E-07
Sc47	2.12E-07
Sc48	3.29E-08
Sc49	1.85E-08
Ti44	5.14E-08
Ti45	2.30E-07
Ti46	4.10E-06
Ti47	3.54E-06
Ti48	4.60E-06
Ti49	1.77E-06
Ti50	9.94E-07
Ti51	1.03E-08
V46	9.67E-08
V47	1.10E-06
V48	5.31E-06
V49	1.51E-05
V50	1.51E-05
V51	8.37E-06
V52	5.88E-07
V53	1.11E-07
V54	4.12E-09
Cr47	6.17E-09
Cr48	7.57E-07
Cr49	6.10E-06
Cr50	3.69E-05
Cr51	3.04E-05
Cr52	1.78E-04
Cr53	2.54E-05
Cr54	6.09E-06
Cr55	1.03E-08
Mn49	1.03E-08
Mn50	5.95E-07
Mn51	3.87E-06
Mn52	1.86E-05
Mn53	5.67E-05
Mn54	3.99E-05
Mn55	3.86E-05
Mn56	6.73E-07
Mn57	5.14E-08
Fe51	8.23E-09
Fe52	9.77E-07
Fe53	1.09E-05
Fe54	8.69E-05
Fe55	6.95E-05
Fe56	5.55E-04
Fe57	1.30E-05
Fe58	1.71E-06
Fe59	8.23E-09
Fe60	2.06E-09
Co53	3.09E-08
Co54	1.26E-06
Co55	7.07E-06
Co56	1.65E-05
Co57	6.21E-06
Co58	2.54E-06
Co59	1.18E-06
Co60	1.07E-07
Co61	6.79E-08
Co62	8.23E-09
Co63	8.23E-09
Ni55	1.65E-08
Ni56	1.28E-06
Ni57	5.08E-06
Ni58	5.64E-05
Ni59	2.69E-06
Ni60	2.17E-05
Ni61	1.24E-06
Ni62	2.92E-06
Ni63	7.61E-08
Ni64	7.18E-07
Cu57	7.20E-08
Cu58	7.43E-07
Cu59	7.20E-08
Cu60	3.85E-07
Cu61	8.23E-08
Cu62	8.85E-08
Cu63	2.67E-08
Cu64	1.44E-08
