Cor B	Cor A	Value	Error
-350.0	-60.0	0.0034177	0.1412
-346.5	-60.0	0.00259025	0.082
-343.0	-60.0	0.00250753	0.0761
-339.5	-60.0	0.00231299	0.1554
-336.0	-60.0	0.00677142	0.384
-332.5	-60.0	0.0199535	0.4374
-329.0	-60.0	0.0348884	0.3131
-325.5	-60.0	0.0433509	0.1046
-322.0	-60.0	0.0395544	0.0979
-318.5	-60.0	0.0573196	0.129
-315.0	-60.0	0.0476965	0.1377
-311.5	-60.0	0.0491495	0.1376
-308.0	-60.0	0.052725	0.1186
-304.5	-60.0	0.0441255	0.0987
-301.0	-60.0	0.0553611	0.115
-297.5	-60.0	0.0497243	0.1384
-294.0	-60.0	0.046249	0.1104
-290.5	-60.0	0.0541942	0.1234
-287.0	-60.0	0.0500266	0.1122
-283.5	-60.0	0.0479299	0.1244
-280.0	-60.0	0.0451508	0.1137
-276.5	-60.0	0.0541023	0.1213
-273.0	-60.0	0.0462137	0.1078
-269.5	-60.0	0.046769	0.1153
-266.0	-60.0	0.0555546	0.1197
-262.5	-60.0	0.0571362	0.1129
-259.0	-60.0	0.0497674	0.1296
-255.5	-60.0	0.0393673	0.1077
-252.0	-60.0	0.0518977	0.1336
-248.5	-60.0	0.0526518	0.1213
-245.0	-60.0	0.0373508	0.1059
-241.5	-60.0	0.0524886	0.1479
-238.0	-60.0	0.0652336	0.1403
-234.5	-60.0	0.0556502	0.1452
-231.0	-60.0	0.044567	0.1232
-227.5	-60.0	0.0332584	0.1822
-224.0	-60.0	0.0255999	0.2977
-220.5	-60.0	0.0557957	0.2227
-217.0	-60.0	0.091977	0.3223
-213.5	-60.0	0.107539	0.2634
-210.0	-60.0	0.2906	0.3677
-206.5	-60.0	0.449042	0.539
-203.0	-60.0	3.87029	0.8842
-199.5	-60.0	1.05151	0.4912
-196.0	-60.0	1.12382	0.2674
-192.5	-60.0	1.25979	0.2678
-189.0	-60.0	2.89649	0.2473
-185.5	-60.0	2.56026	0.2404
-182.0	-60.0	9.58365	0.6746
-178.5	-60.0	25.0513	0.7943
-175.0	-60.0	11.7225	0.2846
-171.5	-60.0	18.6815	0.2724
-168.0	-60.0	18.2614	0.2952
-164.5	-60.0	41.9751	0.2733
-161.0	-60.0	50.7999	0.2627
-157.5	-60.0	51.9686	0.2839
-154.0	-60.0	98.5469	0.2968
-150.5	-60.0	1894.23	0.6444
-147.0	-60.0	175.861	0.4175
-143.5	-60.0	65.7105	0.4393
-140.0	-60.0	475.91	0.263
-136.5	-60.0	517.799	0.3484
-133.0	-60.0	590.865	0.4629
-129.5	-60.0	2260.87	0.4213
-126.0	-60.0	2058.81	0.4189
-122.5	-60.0	2538.04	0.4981
-119.0	-60.0	10988.5	0.441
-115.5	-60.0	72683.3	0.8453
-112.0	-60.0	13682.4	0.5429
-108.5	-60.0	62776.6	0.6778
-105.0	-60.0	71827.4	0.2051
-101.5	-60.0	121625.0	0.1572
-98.0	-60.0	214577.0	0.1341
-94.5	-60.0	335256.0	0.1071
-91.0	-60.0	429230.0	0.0968
-87.5	-60.0	513506.0	0.088
-84.0	-60.0	493603.0	0.0915
-80.5	-60.0	499427.0	0.0868
-77.0	-60.0	499532.0	0.0914
-73.5	-60.0	361754.0	0.0937
-70.0	-60.0	463809.0	0.0918
-66.5	-60.0	441940.0	0.0907
-63.0	-60.0	471345.0	0.0996
-59.5	-60.0	347871.0	0.0989
-56.0	-60.0	281051.0	0.1141
-52.5	-60.0	276482.0	0.1164
-49.0	-60.0	166734.0	0.1332
-45.5	-60.0	147151.0	0.1334
-42.0	-60.0	108405.0	0.1555
-38.5	-60.0	107229.0	0.1656
-35.0	-60.0	88049.1	0.1787
-31.5	-60.0	68297.2	0.1719
-28.0	-60.0	90311.4	0.1805
-24.5	-60.0	74543.0	0.1577
-21.0	-60.0	108896.0	0.1618
-17.5	-60.0	144570.0	0.1194
-14.0	-60.0	223976.0	0.1091
-10.5	-60.0	338225.0	0.0873
-7.0	-60.0	429499.0	0.0793
-3.5	-60.0	444825.0	0.0752
0.0	-60.0	485747.0	0.0722
3.5	-60.0	603462.0	0.0726
7.0	-60.0	617554.0	0.076
10.5	-60.0	572272.0	0.0787
14.0	-60.0	388400.0	0.0927
17.5	-60.0	321437.0	0.0958
21.0	-60.0	333840.0	0.0936
24.5	-60.0	265540.0	0.1104
28.0	-60.0	201182.0	0.1226
31.5	-60.0	164090.0	0.1295
35.0	-60.0	139729.0	0.137
38.5	-60.0	90885.9	0.167
42.0	-60.0	101693.0	0.1668
45.5	-60.0	56075.4	0.1975
49.0	-60.0	46436.5	0.2123
52.5	-60.0	68106.1	0.2062
56.0	-60.0	70470.8	0.187
59.5	-60.0	83040.4	0.191
63.0	-60.0	71560.3	0.2175
66.5	-60.0	64807.9	0.2421
70.0	-60.0	81895.4	0.2263
73.5	-60.0	70177.1	0.2205
77.0	-60.0	73712.8	0.232
80.5	-60.0	97190.1	0.202
84.0	-60.0	70107.0	0.2398
87.5	-60.0	49916.8	0.2357
91.0	-60.0	55331.8	0.2735
94.5	-60.0	60027.3	0.245
98.0	-60.0	70830.9	0.223
101.5	-60.0	91170.7	0.2001
105.0	-60.0	89790.2	0.2013
108.5	-60.0	41341.5	0.2094
112.0	-60.0	18594.2	0.2834
115.5	-60.0	12957.9	0.3741
119.0	-60.0	5115.04	0.3616
122.5	-60.0	2233.52	0.3921
126.0	-60.0	916.072	0.4069
129.5	-60.0	600.366	0.4096
133.0	-60.0	262.787	0.4362
136.5	-60.0	114.918	0.2754
140.0	-60.0	68.8069	0.2393
143.5	-60.0	50.3667	0.2018
147.0	-60.0	31.8456	0.1978
150.5	-60.0	22.5718	0.2087
154.0	-60.0	14.6368	0.204
157.5	-60.0	10.1863	0.222
161.0	-60.0	6.38739	0.2214
164.5	-60.0	4.14047	0.2266
168.0	-60.0	2.72496	0.2018
171.5	-60.0	1.77867	0.2233
175.0	-60.0	1.14893	0.2247
178.5	-60.0	0.7654	0.2047
182.0	-60.0	0.581964	0.2067
185.5	-60.0	0.346024	0.1973
189.0	-60.0	0.226019	0.1996
192.5	-60.0	0.159252	0.1905
196.0	-60.0	0.125608	0.1773
199.5	-60.0	0.111551	0.1727
203.0	-60.0	0.119321	0.1554
206.5	-60.0	0.111117	0.1736
210.0	-60.0	0.118626	0.166
213.5	-60.0	0.111136	0.1506
217.0	-60.0	0.123879	0.1316
220.5	-60.0	0.112617	0.1344
224.0	-60.0	0.107209	0.1233
227.5	-60.0	0.0977138	0.1257
231.0	-60.0	0.0913272	0.1273
234.5	-60.0	0.0846404	0.1374
238.0	-60.0	0.0776691	0.1311
241.5	-60.0	0.0801071	0.1246
245.0	-60.0	0.0850639	0.1459
248.5	-60.0	0.0915807	0.1692
252.0	-60.0	0.0819415	0.1556
255.5	-60.0	0.0792305	0.1447
259.0	-60.0	0.0833078	0.123
262.5	-60.0	0.0763441	0.1141
