Cor B	Cor A	Value	Error
-350.0	-60.0	0.00183172	0.1037
-346.5	-60.0	0.0152633	0.6621
-343.0	-60.0	0.0257917	0.6171
-339.5	-60.0	0.00122382	0.1207
-336.0	-60.0	0.624684	0.9973
-332.5	-60.0	0.817377	0.5904
-329.0	-60.0	1.28082	0.7012
-325.5	-60.0	1.34455	0.4825
-322.0	-60.0	0.471589	0.4466
-318.5	-60.0	0.67517	0.3633
-315.0	-60.0	1.31517	0.344
-311.5	-60.0	0.836656	0.3962
-308.0	-60.0	0.823551	0.399
-304.5	-60.0	0.886265	0.3672
-301.0	-60.0	0.862595	0.3925
-297.5	-60.0	0.651083	0.6037
-294.0	-60.0	2.13133	0.721
-290.5	-60.0	2.91756	0.7172
-287.0	-60.0	2.14083	0.3787
-283.5	-60.0	0.938395	0.2818
-280.0	-60.0	1.18946	0.3783
-276.5	-60.0	1.52461	0.4262
-273.0	-60.0	1.9472	0.6048
-269.5	-60.0	1.11211	0.3999
-266.0	-60.0	0.511884	0.3636
-262.5	-60.0	0.408403	0.2701
-259.0	-60.0	0.361768	0.2626
-255.5	-60.0	0.781834	0.385
-252.0	-60.0	1.00278	0.3998
-248.5	-60.0	1.0126	0.2869
-245.0	-60.0	0.794025	0.2644
-241.5	-60.0	0.945721	0.2917
-238.0	-60.0	0.625733	0.3222
-234.5	-60.0	0.806511	0.346
-231.0	-60.0	0.999916	0.306
-227.5	-60.0	1.19728	0.3212
-224.0	-60.0	1.43777	0.3754
-220.5	-60.0	0.818599	0.2649
-217.0	-60.0	1.351	0.2892
-213.5	-60.0	2.46314	0.2759
-210.0	-60.0	24.1726	0.8334
-206.5	-60.0	34.3254	0.8674
-203.0	-60.0	50.3292	0.7191
-199.5	-60.0	55.3531	0.7629
-196.0	-60.0	23.093	0.5693
-192.5	-60.0	17.3218	0.2871
-189.0	-60.0	16.2922	0.2078
-185.5	-60.0	13.0244	0.2011
-182.0	-60.0	23.8228	0.3561
-178.5	-60.0	76.6703	0.3965
-175.0	-60.0	80.4163	0.4305
-171.5	-60.0	51.0167	0.2749
-168.0	-60.0	101.066	0.5096
-164.5	-60.0	182.479	0.3223
-161.0	-60.0	483.376	0.4494
-157.5	-60.0	499.069	0.4778
-154.0	-60.0	1176.88	0.4645
-150.5	-60.0	1270.63	0.4661
-147.0	-60.0	1091.15	0.4721
-143.5	-60.0	767.691	0.2549
-140.0	-60.0	534.456	0.2876
-136.5	-60.0	766.097	0.608
-133.0	-60.0	1420.56	0.3928
-129.5	-60.0	1955.47	0.3162
-126.0	-60.0	1693.02	0.5814
-122.5	-60.0	4260.97	0.5242
-119.0	-60.0	10044.6	0.578
-115.5	-60.0	8166.4	0.3262
-112.0	-60.0	12176.2	0.3443
-108.5	-60.0	14861.7	0.3115
-105.0	-60.0	19792.2	0.1058
-101.5	-60.0	30572.5	0.0692
-98.0	-60.0	54446.1	0.0509
-94.5	-60.0	91633.1	0.0382
-91.0	-60.0	134960.0	0.0326
-87.5	-60.0	143044.0	0.0321
-84.0	-60.0	147680.0	0.0315
-80.5	-60.0	156637.0	0.0306
-77.0	-60.0	163536.0	0.0299
-73.5	-60.0	162870.0	0.0293
-70.0	-60.0	174184.0	0.029
-66.5	-60.0	184494.0	0.0287
-63.0	-60.0	165130.0	0.0301
-59.5	-60.0	171264.0	0.0302
-56.0	-60.0	123559.0	0.0351
-52.5	-60.0	42752.3	0.0572
-49.0	-60.0	15871.4	0.0889
-45.5	-60.0	8440.62	0.1353
-42.0	-60.0	4092.84	0.2001
-38.5	-60.0	1534.12	0.2994
-35.0	-60.0	628.795	0.4814
-31.5	-60.0	711.674	0.307
-28.0	-60.0	748.642	0.3001
-24.5	-60.0	1081.99	0.2814
-21.0	-60.0	2011.47	0.2515
-17.5	-60.0	3944.49	0.1972
-14.0	-60.0	3218.62	0.185
-10.5	-60.0	12075.4	0.1111
-7.0	-60.0	21382.9	0.082
-3.5	-60.0	29232.9	0.0714
0.0	-60.0	30051.2	0.0719
3.5	-60.0	38676.9	0.063
7.0	-60.0	47260.4	0.0574
10.5	-60.0	30592.6	0.0686
14.0	-60.0	9174.26	0.1218
17.5	-60.0	4048.04	0.164
21.0	-60.0	1723.35	0.2853
24.5	-60.0	1847.15	0.3006
28.0	-60.0	1143.47	0.351
31.5	-60.0	922.372	0.3515
35.0	-60.0	288.907	0.3837
38.5	-60.0	250.063	0.4027
42.0	-60.0	233.83	0.4495
45.5	-60.0	812.088	0.3189
49.0	-60.0	807.926	0.2657
52.5	-60.0	662.368	0.2772
56.0	-60.0	1009.83	0.255
59.5	-60.0	1557.92	0.2102
63.0	-60.0	1518.67	0.2458
66.5	-60.0	884.71	0.2598
70.0	-60.0	1300.52	0.2788
73.5	-60.0	2014.89	0.2403
77.0	-60.0	1786.95	0.2315
80.5	-60.0	1366.58	0.2961
84.0	-60.0	2305.06	0.2113
87.5	-60.0	2199.39	0.2513
91.0	-60.0	2008.29	0.1966
94.5	-60.0	2605.03	0.2551
98.0	-60.0	2797.55	0.2102
101.5	-60.0	3403.59	0.2067
105.0	-60.0	4563.62	0.1864
108.5	-60.0	5321.79	0.1702
112.0	-60.0	6459.77	0.1679
115.5	-60.0	7635.06	0.1647
119.0	-60.0	8660.0	0.162
122.5	-60.0	8064.67	0.1641
126.0	-60.0	7465.68	0.1732
129.5	-60.0	5716.37	0.1773
133.0	-60.0	3672.35	0.1975
136.5	-60.0	2591.65	0.2145
140.0	-60.0	1737.31	0.2347
143.5	-60.0	1227.74	0.2588
147.0	-60.0	828.434	0.2148
150.5	-60.0	440.07	0.2047
154.0	-60.0	211.099	0.2509
157.5	-60.0	216.214	0.2525
161.0	-60.0	191.008	0.253
164.5	-60.0	166.026	0.2843
168.0	-60.0	114.379	0.2893
171.5	-60.0	62.4576	0.3063
175.0	-60.0	22.0743	0.2886
178.5	-60.0	7.84277	0.4807
182.0	-60.0	3.03514	0.4053
185.5	-60.0	3.84953	0.4418
189.0	-60.0	2.42327	0.5087
192.5	-60.0	1.74189	0.3974
196.0	-60.0	0.519841	0.5779
199.5	-60.0	2.27213	0.5104
203.0	-60.0	7.13391	0.5492
206.5	-60.0	6.61422	0.5852
210.0	-60.0	6.28428	0.6156
213.5	-60.0	5.99819	0.6271
217.0	-60.0	3.14673	0.4719
220.5	-60.0	1.22213	0.5332
224.0	-60.0	2.27493	0.3696
227.5	-60.0	1.60165	0.5314
231.0	-60.0	1.68555	0.5088
