4.88E-04,5.34E-04,6.10E-04,6.67E-04,7.30E-04,7.98E-04,8.72E-04
2.44E-03,4.55E-03,4.98E-03,5.44E-03,5.95E-03,6.51E-03,6.80E-03
7.11E-03,7.44E-03,7.78E-03,8.13E-03,9.72E-03,1.45E-02,1.74E-02
1.82E-02,1.99E-02,3.11E-02,3.88E-02,4.06E-02,4.25E-02,4.44E-02
4.64E-02,5.31E-02,5.80E-02,6.07E-02,6.64E-02,6.94E-02,7.26E-02
8.30E-02,9.07E-02,9.48E-02,9.92E-02,1.04E-01,1.08E-01,1.13E-01
1.19E-01,1.24E-01,1.30E-01,1.36E-01,1.42E-01,1.48E-01,1.55E-01
1.62E-01,1.70E-01,1.77E-01,1.85E-01,1.94E-01,2.03E-01,2.12E-01
2.22E-01,2.32E-01,2.42E-01,2.53E-01,2.65E-01,2.77E-01,2.90E-01
3.03E-01,3.17E-01,3.31E-01,3.46E-01,3.62E-01,3.79E-01,3.96E-01
4.14E-01,4.33E-01,4.53E-01,4.73E-01,4.95E-01,5.18E-01,5.41E-01
5.66E-01,5.92E-01,6.19E-01,6.47E-01,6.77E-01,7.08E-01,7.40E-01
7.74E-01,8.09E-01,8.46E-01,8.85E-01,9.25E-01,9.67E-01,1.01E+00
1.06E+00,1.11E+00,1.16E+00,1.21E+00,1.26E+00,1.32E+00,1.38E+00
1.45E+00,1.51E+00,1.58E+00,1.65E+00,1.73E+00,1.81E+00,1.89E+00
1.98E+00,2.07E+00,2.16E+00,2.26E+00,2.36E+00,2.47E+00,2.58E+00
2.70E+00,2.83E+00,2.95E+00,3.09E+00,3.23E+00,3.38E+00,3.53E+00
1.53E+02,2.05E+01,1.27E+04,3.99E+02,4.10E+04,5.64E-01,3.65E-04
9.46E+02,5.70E+03,2.25E+03,4.47E+05,1.35E+05,1.38E+06,1.75E+01
3.76E+05,1.08E-02,4.81E+00,2.99E-03,1.32E+05,5.33E+03,1.37E+04
1.96E+00,5.44E+03,4.08E+00,4.08E+00,5.98E+01,7.34E+00,1.06E-06
1.76E+04,5.22E+03,2.20E+05,1.63E+00,4.68E+04,7.17E+04,7.49E-07
3.07E+03,1.46E-07,2.72E-07,6.90E+03,5.39E+01,1.20E+04,1.25E+03
3.10E+01,4.98E+04,1.18E+02,6.25E+03,3.03E+02,8.19E+01,3.72E+02
5.74E+04,2.36E+02,8.82E+01,7.17E+00,7.31E+02,2.54E+03,7.69E+03
3.58E+02,4.51E+02,4.79E+03,3.57E+02,1.35E+03,2.29E+02,7.60E+03
4.69E+01,2.35E+03,3.06E-06,2.83E+04,1.99E+02,1.85E+01,7.43E+03
1.49E+03,1.86E+02,1.07E+02,1.78E+03,8.91E+03,3.96E+06,1.27E+02
2.39E+02,1.07E+04,6.81E-07,1.36E+04,1.41E+03,1.69E+02,2.47E+06
4.32E+04,1.31E+05,6.05E+06,9.20E+03,2.58E+06,8.36E+04,6.61E+03
8.28E+05,8.22E+03,1.46E+05,4.28E+03,4.03E+06,1.46E+05,2.52E+05
2.75E+06,2.54E+01,2.35E+00,5.47E+03,9.61E-01,9.44E+05,7.62E+00
2.20E+05,4.79E+05,3.75E+00,2.98E+04,4.70E+03,3.47E+03,9.98E+05
1.12E+03,1.48E-08,6.09E+04,6.62E-10,7.65E+05,5.64E+04,1.30E+04
