EnergyMid,Intensity
0.4875,15297.970444800001
0.5335000000000001,2054.7764149462205
0.61,1273319.3571080454
0.667,39897.34684
0.7295,4104694.1627362007
0.7975,56.44884436866345
0.8714999999999999,0.03654766850988582
2.4355,94620.00089351927
4.5515,569875.2141280352
4.976,225157.57661073012
5.4415,44715199.93199734
5.95,13542591.761422839
6.5055,137813985.59102112
6.803,1752.596509517833
7.1135,37593572.59632753
7.438000000000001,1.083680430551652
7.7780000000000005,480.91248221169343
8.1335,0.2986623266600298
9.724,13161444.01012
14.534500000000001,533112.0
17.378,1369500.0130112253
18.1715,195.6672
19.8695,544371.0747686203
31.0555,407.64000391459996
38.826,407.640013616
40.599000000000004,5984.0
42.453,733.752
44.392,0.000105524
46.4195,1757800.0
53.075,522104.00000000006
58.034,21961284.02139
60.6845,163.056
66.3545,4681221.57305264
69.38499999999999,7165413.046969
72.554,7.4888e-05
82.956,307060.788
90.707,1.46475e-05
94.85,2.7232000000000003e-05
99.182,689795.432
103.7115,5385.6000987160005
108.4485,1202712.76083398
113.402,125436.00655318
118.5815,3098.0896
123.9975,4981931.996163103
129.6605,11832.406643999999
135.5825,625367.052015318
141.775,30294.000085099997
148.25,8193.564
155.02100000000002,37215.636061272
162.1015,5737918.210457868
169.50549999999998,23602.35605106
177.247,8821.77247656
185.34199999999998,717.4464431427548
193.807,73144.500175306
202.659,254419.42411368058
211.9155,769109.8240459539
221.594,35761.8256
231.7145,45054.721639999996
242.298,478972.96326808
253.36450000000002,35674.177544664
264.93600000000004,135413.766457358
277.0365,22868.604207644
289.69,759643.875807656
302.92100000000005,4687.860033652935
316.756,234552.15787572402
331.22299999999996,0.00030636000000000004
346.351,2833239.663090624
362.16999999999996,19925.10192206
378.7115,1852.992098712
396.0085,742560.000148074
414.095,148739.58721178753
433.008,18630.180340400002
452.78499999999997,10681.3032
473.46500000000003,177558.0924155805
495.0895,890629.1708207292
517.7015,395526375.47715795
541.3465,12739.554879994
566.0715,23949.541402397084
591.9255,1068054.314634466
618.9604999999999,6.808000000000001e-05
647.2305,1358439.760462836
676.7909999999999,141035.18765951603
707.702,16911.676931054
740.0250000000001,246823001.6370051
773.8240000000001,4317071.9072416425
809.1669999999999,13138229.934815874
846.124,605012213.3417243
884.769,920326.984366094
925.1790000000001,257986764.7979833
967.4345000000001,8357512.303292024
1011.6199999999999,660724.397816516
1057.8235,82831675.1459744
1106.1375,822084.39163487
1156.658,14581704.494375313
1209.4859999999999,428490.96553145687
1264.7269999999999,403443896.15672547
1322.4904999999999,14579383.965749303
1382.8925,25188905.828122146
1446.0535,274518015.0048359
1512.099,2536.8091829740006
1581.161,235.48320536239584
1653.377,546713.3875927009
1728.8915,96.064
1807.855,94390373.39120103
1890.4250000000002,762.4448
1976.7665000000002,21984794.985000182
2067.051,47902212.08652
2161.459,374.78280481950003
2260.1795,2980915.4391199998
2363.4085,470129.9296
2471.352,346711.501302
2584.2259999999997,99782394.71760054
2702.255,111652.85628
2825.675,1.48365e-06
2954.732,6093895.366440718
3089.683,6.615000000000001e-08
3230.798,76488083.01792
3378.3585000000003,5641995.121812
3532.6580000000004,1298111.3659080002
