H1,613.9
H3,388789632
H5,7.99E-23
H6,2.85E-22
He5,7.60E-22
He6,0.8067
He7,3.04E-21
He8,0.1191
He10,1.52E-21
Li4,7.56E-23
Li5,3.04E-22
Li8,0.8399
Li9,0.1783
Li11,0.00875
Be6,4.95E-21
Be7,4598208
Be8,8.18E-17
Be10,4.77E+13
Be11,13.76
Be12,0.02147
Be13,2.70E-21
Be14,0.00435
Be15,7.86E-22
Be16,5.70E-22
B7,3.26E-22
B8,0.77
B9,8.44E-19
B12,0.0202
B13,0.01733
B14,0.01236
B15,0.01018
B17,0.00508
B19,0.00292
C8,1.98E-21
C9,0.1265
C10,19.308
C11,1221.84
C14,1.80E+11
C15,2.449
C16,0.747
C17,0.191
C18,0.092
C19,0.0462
C20,0.0162
C22,0.0061
N11,5.49E-22
N12,0.011
N13,597.9
N16,7.13
N17,4.171
N18,0.619
N19,0.336
N20,0.136
N21,0.0848
N22,0.0195
N23,0.0141
O12,1.14E-21
O13,0.00858
O14,70.62
O15,122.24
O19,26.88
O20,13.51
O21,3.42
O22,2.25
O23,0.097
O24,0.072
O25,6.30E-21
O26,4.50E-12
F14,5.01E-22
F15,6.90E-22
F16,1.14E-20
F17,64.49
F18,6586.2
F20,11.07
F21,4.158
F22,4.23
F23,2.23
F24,0.382
F25,0.08
F26,0.0082
F27,0.005
F28,4.60E-20
F29,0.00267
Ne16,9.00E-21
Ne17,0.1092
Ne18,1.667
Ne19,17.22
Ne23,37.24
Ne24,202.8
Ne25,0.602
Ne26,0.197
Ne27,0.0315
Ne28,0.02
Ne29,0.015
Ne30,0.00739
Ne31,0.0034
Ne32,0.0035
Ne34,0.00000006
Na18,1.30E-21
Na20,0.4479
Na21,22.49
Na22,82106563.68
Na24,53989.2
Na25,59.1
Na26,1.07128
Na27,0.301
Na28,0.0305
Na29,0.0441
Na30,0.048
Na31,0.0174
Na32,0.0132
Na33,0.0081
Na34,0.005
Na35,0.0018
Mg19,4.00E-12
Mg20,0.0908
Mg21,0.122
Mg22,3.8755
Mg23,11.317
Mg27,567.48
Mg28,75294
Mg29,1.3
Mg30,0.317
Mg31,0.236
Mg32,0.086
Mg33,0.0894
Mg34,0.02
Mg35,0.0113
Mg36,0.0058
Mg37,0.008
Al22,0.0911
Al23,0.47
Al24,2.053
Al25,7.183
Al26,2.26E+13
Al28,134.7
Al29,393.6
Al30,3.62
Al31,0.644
Al32,0.0319
Al33,0.0417
Al34,0.0563
Al35,0.0376
Al36,0.094
Al37,0.0107
Al38,0.0076
Al39,0.0076
Si22,0.029
