Mn49	3.00E-10
Mn62	4.00E-10
Fe52	1.70E-09
Fe53	4.00E-10
Fe55	1.00E-10
Fe62	1.00E-10
Fe64	4.00E-10
Co53	6.00E-10
Co54	2.60E-09
Co55	3.10E-09
Co56	4.80E-09
Co57	2.70E-09
Co58	1.20E-09
Co60	2.00E-10
Co61	1.00E-10
Ni53	1.00E-10
Ni54	6.00E-10
Ni55	1.50E-09
Ni56	4.00E-09
Ni57	6.90E-09
Ni59	6.50E-09
Ni63	1.00E-10
Ni67	1.00E-10
Ni68	1.00E-09
Cu57	2.10E-09
Cu58	8.90E-09
Cu59	1.40E-08
Cu60	2.29E-08
Cu61	2.39E-08
Cu62	1.53E-08
Cu64	1.80E-09
Cu69	1.00E-10
Cu70	3.00E-10
Cu71	2.60E-09
Cu72	7.30E-09
Cu73	2.06E-08
Zn57	3.19E-08
Zn58	3.02E-08
Zn59	2.20E-08
Zn60	1.20E-08
Zn61	4.20E-09
Zn62	9.00E-10
Zn63	2.00E-10
Zn64	1.00E-10
Zn71	1.00E-10
Zn72	7.00E-10
Zn73	2.50E-09
Zn74	1.54E-08
Zn75	3.65E-08
Zn76	6.62E-08
Zn77	7.95E-08
Zn78	7.43E-08
Ga62	4.00E-08
Ga63	1.86E-08
Ga64	3.30E-09
Ga65	5.00E-10
Ga73	1.00E-10
Ga74	4.00E-10
Ga75	2.40E-09
Ga76	9.90E-09
Ga77	3.08E-08
Ga78	6.47E-08
Ga79	1.10E-07
Ga80	9.58E-08
Ga81	6.68E-08
Ga82	2.76E-08
Ga83	7.00E-09
Ge61	1.10E-09
Ge62	3.00E-10
Ge63	1.00E-10
Ge77	2.30E-09
Ge78	1.48E-08
Ge79	4.78E-08
Ge80	1.14E-07
Ge81	1.76E-07
Ge82	2.09E-07
Ge83	1.44E-07
Ge84	7.73E-08
As66	2.58E-08
As67	5.90E-09
As68	1.30E-09
As69	3.00E-10
As77	1.00E-10
As78	1.00E-10
As79	1.30E-09
As80	8.50E-09
As81	3.29E-08
As82	7.99E-08
As83	1.65E-07
As84	1.89E-07
As85	1.64E-07
As86	1.00E-07
As87	7.30E-08
Se68	2.30E-08
Se69	5.10E-09
Se70	4.00E-10
Se71	1.00E-10
Se81	2.10E-09
Se83	3.61E-08
Se84	1.13E-07
Se85	2.01E-07
Se86	2.59E-07
Se87	2.44E-07
Se88	2.10E-07
Se89	1.23E-07
Se90	3.52E-08
Se91	7.60E-09
Br70	1.10E-09
Br83	1.00E-09
Br84	6.00E-09
Br85	2.23E-08
Br86	8.04E-08
Br87	1.52E-07
Br88	2.23E-07
Br89	2.64E-07
Br90	1.83E-07
Br91	1.07E-07
Br92	3.03E-08
Kr71	3.70E-09
Kr72	5.00E-10
Kr73	1.00E-10
Kr85	8.00E-10
Kr87	2.26E-08
Kr88	8.83E-08
Kr89	1.93E-07
Kr90	3.46E-07
