X	Y	Value
81	-445.5	0.026166
85.5	-445.5	0.0328164
90	-445.5	0.0268848
94.5	-445.5	0.026022
99	-445.5	0.0265914
103.5	-445.5	0.0307626
108	-445.5	0.0270672
112.5	-445.5	0.035061
117	-445.5	0.0435726
121.5	-445.5	0.034551
126	-445.5	0.0295458
130.5	-445.5	0.0346278
135	-445.5	0.0316596
139.5	-445.5	0.0423876
144	-445.5	0.0382398
148.5	-445.5	0.034695
153	-445.5	0.0300168
157.5	-445.5	0.0267006
162	-445.5	0.0306882
166.5	-445.5	0.0362298
171	-445.5	0.0274848
175.5	-445.5	0.034944
180	-445.5	0.0276294
184.5	-445.5	0.0330822
189	-445.5	0.0292296
193.5	-445.5	0.0251388
198	-445.5	0.0304332
202.5	-445.5	0.02433
207	-445.5	0.0321594
211.5	-445.5	0.0272268
216	-445.5	0.0246102
220.5	-445.5	0.0224952
225	-445.5	0.0359034
229.5	-445.5	0.0220818
234	-445.5	0.0276312
238.5	-445.5	0.0232224
243	-445.5	0.0228126
247.5	-445.5	0.029535
252	-445.5	0.0201654
256.5	-445.5	0.0172548
261	-445.5	0.017184
265.5	-445.5	0.026121
270	-445.5	0.0192834
274.5	-445.5	0.0115332
279	-445.5	0.0108822
283.5	-445.5	0.0151644
288	-445.5	0.015789
292.5	-445.5	0.0209028
297	-445.5	0.0083286
301.5	-445.5	0.012225
306	-445.5	0.0114438
310.5	-445.5	0.0142278
315	-445.5	0.009843
319.5	-445.5	0.008487
324	-445.5	0.0067452
328.5	-445.5	0.0101208
333	-445.5	0.0094452
337.5	-445.5	0.00693
342	-445.5	0.0066462
346.5	-445.5	0.0077496
351	-445.5	0.0064476
355.5	-445.5	0.0062688
360	-445.5	0.0050436
369	-445.5	0.0063552
373.5	-445.5	0.0046032
378	-445.5	0.00258
382.5	-445.5	0.00273
391.5	-445.5	0.0024054
414	-445.5	0.002061
418.5	-445.5	0.003195
427.5	-445.5	0.003027
-441	-441	0.0002574
-423	-441	0.0004704
-400.5	-441	0.0009618
-391.5	-441	0.0009624
-378	-441	0.0008958
-360	-441	0.0008976
-355.5	-441	0.0013338
-342	-441	0.0059118
-333	-441	0.0010632
-319.5	-441	0.0014748
-315	-441	0.0014208
-310.5	-441	0.0011514
-306	-441	0.001458
-301.5	-441	0.0035556
-283.5	-441	0.0014976
-279	-441	0.0021066
-274.5	-441	0.0043206
-261	-441	0.0021366
-252	-441	0.0039
-229.5	-441	0.0070248
-216	-441	0.0090702
-211.5	-441	0.0189006
-202.5	-441	0.0121602
-193.5	-441	0.0087606
-189	-441	0.0065406
-180	-441	0.0114804
-175.5	-441	0.0088176
-162	-441	0.0116526
-157.5	-441	0.0088248
-153	-441	0.0125538
-144	-441	0.0170622
-139.5	-441	0.0197538
-135	-441	0.0153612
-130.5	-441	0.0115956
-126	-441	0.0195342
-121.5	-441	0.0226272
-117	-441	0.0224202
-112.5	-441	0.0193758
-108	-441	0.0279966
-103.5	-441	0.024591
-99	-441	0.029634
-94.5	-441	0.0201186
-90	-441	0.0248214
-85.5	-441	0.0402798
-81	-441	0.0273594
-76.5	-441	0.0351348
-72	-441	0.0191772
-67.5	-441	0.0180114
-63	-441	0.0162084
-58.5	-441	0.0188466
-54	-441	0.019611
-49.5	-441	0.0199014
-45	-441	0.0186528
-40.5	-441	0.0169878
-36	-441	0.0150528
-31.5	-441	0.023742
-27	-441	0.020334
-22.5	-441	0.0191406
-18	-441	0.0195222
-13.5	-441	0.0198444
-9	-441	0.0252768
-4.5	-441	0.0212868
0	-441	0.024711
4.5	-441	0.0214584
9	-441	0.0310038
13.5	-441	0.0219786
18	-441	0.0209592
22.5	-441	0.0309126
27	-441	0.0369654
31.5	-441	0.0273294
36	-441	0.0432402
40.5	-441	0.033363
45	-441	0.0228792
49.5	-441	0.0230592
54	-441	0.029772
58.5	-441	0.026964
63	-441	0.0301944
67.5	-441	0.0294216
72	-441	0.0245748
76.5	-441	0.036336
81	-441	0.0278922
85.5	-441	0.0315666
90	-441	0.0257448
94.5	-441	0.0259062
99	-441	0.0374862
103.5	-441	0.0304236
108	-441	0.0308478
112.5	-441	0.032616
117	-441	0.0420102
121.5	-441	0.0309006
126	-441	0.0362892
130.5	-441	0.0360138
135	-441	0.033186
139.5	-441	0.046458
144	-441	0.033855
148.5	-441	0.0353952
153	-441	0.025947
157.5	-441	0.0256086
162	-441	0.0341898
166.5	-441	0.0430254
171	-441	0.0350298
