Cor C	Cor A	Value	Error
-450.0	-65.0	0.003583	0.23
-445.5	-65.0	0.00686572	0.247
-441.0	-65.0	0.00661919	0.2603
-436.5	-65.0	0.00433207	0.2176
-432.0	-65.0	0.00849797	0.4164
-427.5	-65.0	0.00438849	0.2709
-423.0	-65.0	0.00437249	0.2198
-418.5	-65.0	0.00597147	0.2779
-414.0	-65.0	0.00497033	0.1952
-409.5	-65.0	0.00604511	0.3645
-405.0	-65.0	0.018193	0.5877
-400.5	-65.0	0.00799292	0.1953
-396.0	-65.0	0.00795459	0.2126
-391.5	-65.0	0.00836669	0.2252
-387.0	-65.0	0.0211223	0.6273
-382.5	-65.0	0.00841823	0.2028
-378.0	-65.0	0.0121067	0.1918
-373.5	-65.0	0.0075079	0.1572
-369.0	-65.0	0.0208024	0.4064
-364.5	-65.0	0.00992164	0.2016
-360.0	-65.0	0.0146441	0.1989
-355.5	-65.0	0.0168008	0.2448
-351.0	-65.0	0.0220025	0.215
-346.5	-65.0	0.0185713	0.1996
-342.0	-65.0	0.0167246	0.2895
-337.5	-65.0	0.0160232	0.2236
-333.0	-65.0	0.0198087	0.2917
-328.5	-65.0	0.0233606	0.3577
-324.0	-65.0	0.0214864	0.363
-319.5	-65.0	0.0260832	0.2634
-315.0	-65.0	0.0244979	0.3722
-310.5	-65.0	0.0247335	0.4055
-306.0	-65.0	0.022042	0.2042
-301.5	-65.0	0.0229774	0.1474
-297.0	-65.0	0.0271179	0.2094
-292.5	-65.0	0.0213411	0.1251
-288.0	-65.0	0.0208384	0.0965
-283.5	-65.0	0.0233047	0.1065
-279.0	-65.0	0.0294215	0.2041
-274.5	-65.0	0.0264363	0.1167
-270.0	-65.0	0.0298869	0.1604
-265.5	-65.0	0.026627	0.17
-261.0	-65.0	0.02982	0.1289
-256.5	-65.0	0.0292208	0.1088
-252.0	-65.0	0.031469	0.1285
-247.5	-65.0	0.0372032	0.1186
-243.0	-65.0	0.0390111	0.0909
-238.5	-65.0	0.0380301	0.0952
-234.0	-65.0	0.0421885	0.0936
-229.5	-65.0	0.0465263	0.078
-225.0	-65.0	0.0465556	0.083
-220.5	-65.0	0.0585523	0.1109
-216.0	-65.0	0.0531013	0.0771
-211.5	-65.0	0.0613993	0.1077
-207.0	-65.0	0.0581572	0.0759
-202.5	-65.0	0.065189	0.1214
-198.0	-65.0	0.0716681	0.075
-193.5	-65.0	0.0759076	0.0599
-189.0	-65.0	0.0912474	0.0747
-184.5	-65.0	0.100454	0.0999
-180.0	-65.0	0.108462	0.0651
-175.5	-65.0	0.109246	0.06
-171.0	-65.0	0.127261	0.066
-166.5	-65.0	0.118067	0.0508
-162.0	-65.0	0.164948	0.0875
-157.5	-65.0	0.190287	0.1305
-153.0	-65.0	0.169527	0.0564
-148.5	-65.0	0.193967	0.0563
-144.0	-65.0	0.217169	0.0587
-139.5	-65.0	0.251009	0.0596
-135.0	-65.0	0.250383	0.0487
-130.5	-65.0	0.299738	0.0584
-126.0	-65.0	0.294505	0.049
-121.5	-65.0	0.355723	0.0778
-117.0	-65.0	0.372188	0.0513
-112.5	-65.0	0.390514	0.0431
-108.0	-65.0	0.435343	0.0572
-103.5	-65.0	0.494224	0.0513
-99.0	-65.0	0.4885	0.0452
-94.5	-65.0	0.601024	0.0638
-90.0	-65.0	0.588249	0.0738
-85.5	-65.0	1.41074	0.5916
-81.0	-65.0	0.950493	0.3838
-76.5	-65.0	0.550551	0.0467
-72.0	-65.0	0.583585	0.0537
-67.5	-65.0	0.592995	0.0511
-63.0	-65.0	0.598297	0.0499
-58.5	-65.0	0.633073	0.065
-54.0	-65.0	0.634189	0.0562
-49.5	-65.0	0.856297	0.2757
-45.0	-65.0	0.695266	0.0923
-40.5	-65.0	0.633009	0.0657
-36.0	-65.0	0.622837	0.0431
-31.5	-65.0	0.743069	0.0802
-27.0	-65.0	0.696526	0.0995
-22.5	-65.0	0.641965	0.037
-18.0	-65.0	0.82951	0.1148
-13.5	-65.0	0.646529	0.0508
-9.0	-65.0	0.665186	0.0501
-4.5	-65.0	0.686212	0.05
0.0	-65.0	0.633991	0.0499
4.5	-65.0	1.54913	0.5898
9.0	-65.0	0.668388	0.0745
13.5	-65.0	0.716933	0.0741
18.0	-65.0	0.609852	0.0675
22.5	-65.0	0.609001	0.0656
27.0	-65.0	0.595072	0.0464
31.5	-65.0	0.580699	0.0611
36.0	-65.0	0.621107	0.0849
40.5	-65.0	0.547198	0.0458
45.0	-65.0	0.51564	0.0535
49.5	-65.0	0.510894	0.0523
54.0	-65.0	0.526094	0.1491
58.5	-65.0	0.514943	0.0658
63.0	-65.0	0.478938	0.0545
67.5	-65.0	0.474194	0.0562
72.0	-65.0	0.465941	0.0552
76.5	-65.0	0.480821	0.0948
81.0	-65.0	0.447778	0.0467
85.5	-65.0	0.455005	0.0791
90.0	-65.0	0.405733	0.0454
94.5	-65.0	0.394899	0.0445
99.0	-65.0	0.421085	0.0651
