Cor C	Cor B	Value	Error
157.5	-450.0	0.0220727	0.1049
162.0	-450.0	0.0213984	0.1002
166.5	-450.0	0.0225999	0.1291
171.0	-450.0	0.0190432	0.1033
175.5	-450.0	0.0299139	0.1834
180.0	-450.0	0.029858	0.2221
184.5	-450.0	0.0203633	0.0956
189.0	-450.0	0.0233758	0.2931
193.5	-450.0	0.019728	0.121
198.0	-450.0	0.0259284	0.1547
202.5	-450.0	0.0169327	0.1353
207.0	-450.0	0.0264663	0.201
211.5	-450.0	0.0240138	0.1699
216.0	-450.0	0.0189154	0.115
220.5	-450.0	0.0178386	0.1053
225.0	-450.0	0.0283288	0.4026
229.5	-450.0	0.0210494	0.1968
234.0	-450.0	0.0143865	0.1117
238.5	-450.0	0.0179599	0.2071
243.0	-450.0	0.0161641	0.1259
247.5	-450.0	0.0173598	0.1874
252.0	-450.0	0.0171706	0.1577
256.5	-450.0	0.0145264	0.1419
261.0	-450.0	0.0145789	0.1343
265.5	-450.0	0.0179652	0.1846
270.0	-450.0	0.0135631	0.165
274.5	-450.0	0.013391	0.1545
279.0	-450.0	0.010952	0.15
283.5	-450.0	0.00991133	0.1461
288.0	-450.0	0.0135502	0.1427
292.5	-450.0	0.019925	0.4267
297.0	-450.0	0.00807915	0.1555
301.5	-450.0	0.00921265	0.1678
306.0	-450.0	0.00959891	0.1666
310.5	-450.0	0.0123626	0.305
315.0	-450.0	0.00749249	0.256
319.5	-450.0	0.00507229	0.1504
324.0	-450.0	0.00607643	0.1706
328.5	-450.0	0.00687079	0.2869
333.0	-450.0	0.00955678	0.2508
337.5	-450.0	0.00635514	0.2185
342.0	-450.0	0.0047533	0.1765
346.5	-450.0	0.0040821	0.1818
351.0	-450.0	0.00560527	0.2881
355.5	-450.0	0.00641924	0.1904
360.0	-450.0	0.00529864	0.2284
364.5	-450.0	0.00657897	0.2665
369.0	-450.0	0.00406455	0.2139
373.5	-450.0	0.002195	0.1797
378.0	-450.0	0.00311405	0.2664
382.5	-450.0	0.00460365	0.239
387.0	-450.0	0.00293401	0.2417
391.5	-450.0	0.00204079	0.2044
396.0	-450.0	0.00215008	0.2104
400.5	-450.0	0.00193895	0.3793
405.0	-450.0	0.00262842	0.253
409.5	-450.0	0.00180258	0.3063
414.0	-450.0	0.00236837	0.3075
418.5	-450.0	0.00176264	0.2208
423.0	-450.0	0.00179622	0.2444
427.5	-450.0	0.00134657	0.2855
432.0	-450.0	0.000609399	0.2115
436.5	-450.0	0.000935135	0.2119
441.0	-450.0	0.00113316	0.2743
445.5	-450.0	0.00142431	0.2478
-450.0	-445.5	0.000260519	0.3812
-445.5	-445.5	0.000448634	0.5672
-441.0	-445.5	0.000452788	0.3952
-436.5	-445.5	0.000430501	0.3313
-432.0	-445.5	0.000174408	0.5727
-427.5	-445.5	0.000415082	0.4931
-423.0	-445.5	0.000472548	0.2872
-418.5	-445.5	0.000381217	0.3586
-414.0	-445.5	0.000548573	0.2995
-409.5	-445.5	0.000899699	0.4213
-405.0	-445.5	0.00114348	0.6101
-400.5	-445.5	0.000551172	0.4692
-396.0	-445.5	0.000838769	0.3931
-391.5	-445.5	0.000920387	0.3785
-387.0	-445.5	0.000900138	0.3249
-382.5	-445.5	0.00143639	0.3846
-378.0	-445.5	0.00248704	0.5393
-373.5	-445.5	0.00134617	0.3266
-369.0	-445.5	0.00181979	0.3377
-364.5	-445.5	0.00114106	0.3558
-360.0	-445.5	0.00172197	0.3346
-355.5	-445.5	0.00165295	0.3288
-351.0	-445.5	0.00141999	0.2763
-346.5	-445.5	0.00262511	0.3651
-342.0	-445.5	0.00148653	0.3081
-337.5	-445.5	0.00133933	0.2571
-333.0	-445.5	0.00158623	0.2324
-328.5	-445.5	0.00167858	0.2788
-324.0	-445.5	0.00124508	0.2509
-319.5	-445.5	0.00178247	0.2576
-315.0	-445.5	0.00201925	0.2738
-310.5	-445.5	0.00236935	0.2385
-306.0	-445.5	0.00268487	0.2423
-301.5	-445.5	0.00383013	0.348
-297.0	-445.5	0.00412446	0.3081
-292.5	-445.5	0.00300231	0.2334
-288.0	-445.5	0.00240379	0.1899
-283.5	-445.5	0.0026502	0.2461
-279.0	-445.5	0.0045255	0.2895
-274.5	-445.5	0.00962003	0.394
-270.0	-445.5	0.0044593	0.2421
-265.5	-445.5	0.00469958	0.2766
-261.0	-445.5	0.00582857	0.221
-256.5	-445.5	0.00453996	0.1972
-252.0	-445.5	0.00282505	0.1871
-247.5	-445.5	0.00734566	0.3132
-243.0	-445.5	0.0062999	0.2386
-238.5	-445.5	0.00748347	0.2834
-234.0	-445.5	0.0108335	0.2124
-229.5	-445.5	0.0107888	0.3053
-225.0	-445.5	0.0163398	0.4276
-220.5	-445.5	0.0145028	0.3247
-216.0	-445.5	0.0266273	0.4509
-211.5	-445.5	0.021677	0.3594
-207.0	-445.5	0.0199236	0.295
-202.5	-445.5	0.0274726	0.2729
-198.0	-445.5	0.016967	0.3659
-193.5	-445.5	0.0094141	0.1474
-189.0	-445.5	0.0144963	0.2199
-184.5	-445.5	0.0175941	0.3842
-180.0	-445.5	0.0117178	0.1482
-175.5	-445.5	0.0216577	0.4162
-171.0	-445.5	0.0135741	0.1699
-166.5	-445.5	0.0180384	0.3752
-162.0	-445.5	0.0182136	0.274
-157.5	-445.5	0.0122757	0.1398
-153.0	-445.5	0.0125533	0.2118
-148.5	-445.5	0.0198892	0.195
-144.0	-445.5	0.027966	0.2348
-139.5	-445.5	0.0221455	0.3506
-135.0	-445.5	0.0162384	0.1469
-130.5	-445.5	0.0152026	0.149
-126.0	-445.5	0.0330817	0.2852
-121.5	-445.5	0.0279986	0.3363
-117.0	-445.5	0.0250512	0.2654
-112.5	-445.5	0.0228658	0.2566
-108.0	-445.5	0.0530158	0.5135
-103.5	-445.5	0.0310702	0.2172
-99.0	-445.5	0.0441076	0.3131
-94.5	-445.5	0.0161783	0.1289
-90.0	-445.5	0.0351944	0.2597
-85.5	-445.5	0.0623524	0.2902
-81.0	-445.5	0.0347908	0.1734
-76.5	-445.5	0.049362	0.4096
-72.0	-445.5	0.0259316	0.1338
-67.5	-445.5	0.0225103	0.1193
-63.0	-445.5	0.0214836	0.1248
-58.5	-445.5	0.0264455	0.1476
-54.0	-445.5	0.0205752	0.1299
-49.5	-445.5	0.021754	0.1643
-45.0	-445.5	0.0242988	0.1393
-40.5	-445.5	0.0174119	0.1246
-36.0	-445.5	0.0204354	0.1666
-31.5	-445.5	0.0242867	0.1339
-27.0	-445.5	0.0307445	0.1327
-22.5	-445.5	0.0260052	0.1557
-18.0	-445.5	0.0375095	0.2927
-13.5	-445.5	0.0552557	0.6075
-9.0	-445.5	0.033351	0.1755
-4.5	-445.5	0.0223057	0.1162
0.0	-445.5	0.0233307	0.1285
4.5	-445.5	0.0248429	0.1548
9.0	-445.5	0.068187	0.4936
13.5	-445.5	0.025264	0.1778
18.0	-445.5	0.0240617	0.1411
22.5	-445.5	0.0273795	0.1644
27.0	-445.5	0.0389115	0.278
31.5	-445.5	0.020439	0.1039
36.0	-445.5	0.054333	0.2748
40.5	-445.5	0.0418722	0.4468
45.0	-445.5	0.0236665	0.1098
49.5	-445.5	0.030774	0.2425
54.0	-445.5	0.0318426	0.1314
58.5	-445.5	0.0313476	0.1521
63.0	-445.5	0.0325915	0.2416
67.5	-445.5	0.0271923	0.1377
72.0	-445.5	0.0257943	0.1631
76.5	-445.5	0.0403878	0.2344
81.0	-445.5	0.0278398	0.1394
85.5	-445.5	0.0396044	0.2774
90.0	-445.5	0.0274455	0.1567
94.5	-445.5	0.0225509	0.0906
99.0	-445.5	0.0275593	0.1121
103.5	-445.5	0.0284908	0.1127
108.0	-445.5	0.0256731	0.1313
112.5	-445.5	0.0273792	0.1181
117.0	-445.5	0.057255	0.4222
121.5	-445.5	0.0324295	0.3236
126.0	-445.5	0.0228983	0.0979
130.5	-445.5	0.0284823	0.1249
135.0	-445.5	0.0227381	0.1087
139.5	-445.5	0.0271243	0.2652
144.0	-445.5	0.038151	0.1518
148.5	-445.5	0.0217266	0.1082
153.0	-445.5	0.0227554	0.1051
157.5	-445.5	0.0196533	0.0999
162.0	-445.5	0.0238973	0.0985
166.5	-445.5	0.0238432	0.131
171.0	-445.5	0.0229827	0.099
175.5	-445.5	0.0344363	0.3021
180.0	-445.5	0.0240697	0.1093
184.5	-445.5	0.0252729	0.2108
189.0	-445.5	0.0196785	0.1254
193.5	-445.5	0.0176265	0.1195
198.0	-445.5	0.0224052	0.1637
202.5	-445.5	0.0183843	0.1354
207.0	-445.5	0.0238527	0.2126
211.5	-445.5	0.0217961	0.16
216.0	-445.5	0.0180011	0.117
220.5	-445.5	0.018993	0.1302
225.0	-445.5	0.0328868	0.4583
229.5	-445.5	0.0150758	0.1099
234.0	-445.5	0.0130065	0.1123
238.5	-445.5	0.0150827	0.1393
243.0	-445.5	0.0181164	0.1472
247.5	-445.5	0.0208804	0.1945
252.0	-445.5	0.016481	0.1734
256.5	-445.5	0.0165473	0.1251
261.0	-445.5	0.0142316	0.1356
265.5	-445.5	0.0161858	0.1847
270.0	-445.5	0.0128207	0.1311
274.5	-445.5	0.0114251	0.1477
279.0	-445.5	0.00993392	0.1481
283.5	-445.5	0.0115066	0.1373
288.0	-445.5	0.0122508	0.2273
292.5	-445.5	0.0198782	0.445
297.0	-445.5	0.00787727	0.188
301.5	-445.5	0.0096607	0.1324
306.0	-445.5	0.0111091	0.18
310.5	-445.5	0.0110655	0.2617
315.0	-445.5	0.00772394	0.2226
319.5	-445.5	0.00529075	0.1416
324.0	-445.5	0.00736782	0.2428
328.5	-445.5	0.00898056	0.3557
333.0	-445.5	0.00643652	0.244
337.5	-445.5	0.00471771	0.1727
342.0	-445.5	0.00430636	0.2012
346.5	-445.5	0.00645913	0.2662
351.0	-445.5	0.00414846	0.2038
355.5	-445.5	0.00690488	0.1836
360.0	-445.5	0.00490786	0.4468
364.5	-445.5	0.00462268	0.2268
369.0	-445.5	0.003756	0.2525
373.5	-445.5	0.00237687	0.2293
378.0	-445.5	0.003774	0.2442
382.5	-445.5	0.00391981	0.1929
387.0	-445.5	0.00260799	0.2016
391.5	-445.5	0.00279465	0.1939
396.0	-445.5	0.00307036	0.2525
400.5	-445.5	0.00223096	0.2746
405.0	-445.5	0.00196818	0.3758
409.5	-445.5	0.00181052	0.2256
414.0	-445.5	0.000867803	0.2113
418.5	-445.5	0.00127446	0.2314
423.0	-445.5	0.000918955	0.2293
427.5	-445.5	0.000627251	0.2533
432.0	-445.5	0.00132733	0.2383
436.5	-445.5	0.0011231	0.2656
441.0	-445.5	0.000769632	0.2785
445.5	-445.5	0.00195854	0.2534
-450.0	-441.0	0.000526203	0.2902
-445.5	-441.0	0.000350849	0.3774
-441.0	-441.0	0.000263973	0.4064
-436.5	-441.0	0.00033692	0.3729
-432.0	-441.0	0.000349553	0.431
-427.5	-441.0	0.000432715	0.4383
-423.0	-441.0	0.000692228	0.3479
-418.5	-441.0	0.000881247	0.3048
-414.0	-441.0	0.000415984	0.3342
-409.5	-441.0	0.000970224	0.3106
-405.0	-441.0	0.00129402	0.242
-400.5	-441.0	0.00160261	0.4305
-396.0	-441.0	0.000984027	0.3684
-391.5	-441.0	0.00151801	0.5127
-387.0	-441.0	0.000959457	0.4088
-382.5	-441.0	0.00107741	0.3178
-378.0	-441.0	0.00139791	0.3482
-373.5	-441.0	0.00042523	0.2988
-369.0	-441.0	0.000743322	0.3765
-364.5	-441.0	0.00205295	0.5702
-360.0	-441.0	0.00144396	0.3678
-355.5	-441.0	0.00213751	0.326
-351.0	-441.0	0.00212666	0.3417
-346.5	-441.0	0.00136297	0.2198
-342.0	-441.0	0.00971743	0.6134
-337.5	-441.0	0.00184041	0.3004
-333.0	-441.0	0.00164859	0.258
-328.5	-441.0	0.00172133	0.2397
-324.0	-441.0	0.00187008	0.243
-319.5	-441.0	0.00235289	0.3415
-315.0	-441.0	0.00211573	0.3423
-310.5	-441.0	0.00155689	0.1965
-306.0	-441.0	0.00214806	0.1944
-301.5	-441.0	0.00581049	0.5575
-297.0	-441.0	0.00274613	0.4071
-292.5	-441.0	0.00190436	0.2675
-288.0	-441.0	0.00284955	0.2134
-283.5	-441.0	0.00222352	0.2117
-279.0	-441.0	0.00319236	0.3082
-274.5	-441.0	0.00692951	0.3811
-270.0	-441.0	0.0067409	0.3825
-265.5	-441.0	0.00517615	0.2483
-261.0	-441.0	0.00334262	0.2361
-256.5	-441.0	0.00546124	0.2587
-252.0	-441.0	0.00625533	0.194
-247.5	-441.0	0.00529156	0.2044
-243.0	-441.0	0.00707196	0.3167
