Cor B	Cor A	Value	Error
-450.0	-65.0	0.02071	0.2049
-445.5	-65.0	0.018761	0.2338
-441.0	-65.0	0.0170971	0.2665
-436.5	-65.0	0.0157704	0.2094
-432.0	-65.0	0.0118121	0.1633
-427.5	-65.0	0.0179202	0.4104
-423.0	-65.0	0.0207442	0.4203
-418.5	-65.0	0.0281564	0.3446
-414.0	-65.0	0.0240834	0.2506
-409.5	-65.0	0.0219635	0.2714
-405.0	-65.0	0.0193303	0.2777
-400.5	-65.0	0.0189807	0.1655
-396.0	-65.0	0.016165	0.1521
-391.5	-65.0	0.01857	0.1497
-387.0	-65.0	0.0230062	0.1976
-382.5	-65.0	0.022834	0.2542
-378.0	-65.0	0.0192997	0.2065
-373.5	-65.0	0.024824	0.3283
-369.0	-65.0	0.0432388	0.3786
-364.5	-65.0	0.0441581	0.1867
-360.0	-65.0	0.0709105	0.2571
-355.5	-65.0	0.0833903	0.2349
-351.0	-65.0	0.0746918	0.1531
-346.5	-65.0	0.151718	0.1613
-342.0	-65.0	0.243725	0.1869
-337.5	-65.0	0.335476	0.1961
-333.0	-65.0	0.408122	0.1772
-328.5	-65.0	0.582217	0.1677
-324.0	-65.0	1.14589	0.1778
-319.5	-65.0	1.48739	0.1976
-315.0	-65.0	1.72339	0.2134
-310.5	-65.0	1.81275	0.2001
-306.0	-65.0	2.29963	0.2291
-301.5	-65.0	1.91536	0.2398
-297.0	-65.0	1.83106	0.1927
-292.5	-65.0	8.86315	0.7766
-288.0	-65.0	2.02437	0.2448
-283.5	-65.0	2.10734	0.2301
-279.0	-65.0	2.41097	0.2206
-274.5	-65.0	2.02648	0.1409
-270.0	-65.0	1.74906	0.1141
-265.5	-65.0	1.91455	0.1265
-261.0	-65.0	2.25504	0.2116
-256.5	-65.0	2.55243	0.1992
-252.0	-65.0	6.22454	0.5977
-247.5	-65.0	16.0515	0.5694
-243.0	-65.0	28.0394	0.5424
-238.5	-65.0	40.6678	0.6546
-234.0	-65.0	29.5689	0.6657
-229.5	-65.0	17.8134	0.1763
-225.0	-65.0	44.2674	0.2747
-220.5	-65.0	61.9919	0.195
-216.0	-65.0	116.956	0.2067
-211.5	-65.0	169.564	0.1693
