Y	Z	Value
8.78788	-9.09091	0
8.78788	-8.78788	0
8.78788	-6.9697	0
8.78788	-5.45455	0
8.78788	-5.15152	0
8.78788	-4.84848	0
8.78788	-4.54545	0
8.9899	-10	0
8.9899	-9.69697	0
8.9899	-9.39394	0
8.9899	-5.45455	0
8.9899	-5.15152	0
8.9899	-4.84848	0
8.9899	-3.63636	0
9.19192	-10	0
9.19192	-9.69697	0
9.19192	-5.75758	0
9.19192	-5.45455	0
9.19192	-3.93939	0
9.39394	-10	0
9.39394	-7.57576	0
9.39394	-7.27273	0
9.39394	-6.9697	0
9.39394	-4.24242	0
9.59596	-10	0
9.59596	-8.18182	0
9.79798	-7.57576	0
9.79798	-6.36364	0
9.79798	-6.06061	0
10	-7.57576	0
10	-6.36364	0
10	-6.06061	0
