X	Z	Value
-9.69697	18.3838	0.0215631
-9.69697	18.7879	7.79012
-9.69697	19.1919	32.6806
-9.69697	19.596	14.3508
-9.69697	20	14.3508
-9.39394	-20	3.89969
-9.39394	-19.596	26.2849
-9.39394	-19.1919	24.3367
-9.39394	-18.7879	0
-9.39394	-18.3838	20.5899
-9.39394	-17.9798	22.6614
-9.39394	-17.5758	14.9788
-9.39394	-17.1717	40.1932
-9.39394	-16.7677	6.18166
-9.39394	-16.3636	8.07878
-9.39394	-15.9596	15.4063
-9.39394	-15.5556	13.9552
-9.39394	-15.1515	0.00033051
-9.39394	-14.7475	4.01764
-9.39394	-14.3434	27.2716
-9.39394	-13.9394	20.0504
-9.39394	-13.5354	21.7844
-9.39394	-13.1313	27.4189
-9.39394	-12.7273	35.7702
-9.39394	-12.3232	14.25
-9.39394	-11.9192	0
-9.39394	-11.5152	19.4728
-9.39394	-11.1111	7.67048
-9.39394	-10.7071	18.3288
-9.39394	-10.303	0.0307495
-9.39394	-9.89899	26.6919
-9.39394	-9.49495	9.56744
-9.39394	-9.09091	10.2682
-9.39394	-8.68687	2.88901
-9.39394	-8.28283	1.5909
-9.39394	-7.87879	21.7143
-9.39394	-7.47475	12.9389
-9.39394	-7.07071	5.20253
-9.39394	-6.66667	0.0238082
-9.39394	-6.26263	19.9271
-9.39394	-5.85859	9.97708
-9.39394	-5.45455	3.71085
-9.39394	-5.05051	22.305
-9.39394	-4.64646	21.1718
-9.39394	-4.24242	25.2271
-9.39394	-3.83838	16.5514
-9.39394	-3.43434	28.7271
-9.39394	-3.0303	61.033
-9.39394	-2.62626	35.0845
-9.39394	-2.22222	121.991
-9.39394	-1.81818	115.027
-9.39394	-1.41414	132.458
-9.39394	-1.0101	207.622
-9.39394	-0.606061	165.535
-9.39394	-0.20202	161.357
-9.39394	0.20202	130.554
-9.39394	0.606061	170.584
-9.39394	1.0101	184.825
-9.39394	1.41414	149.854
-9.39394	1.81818	164.917
-9.39394	2.22222	78.6553
-9.39394	2.62626	23.8474
-9.39394	3.0303	32.6485
-9.39394	3.43434	28.0171
-9.39394	3.83838	33.326
-9.39394	4.24242	8.26866
-9.39394	4.64646	8.32482
-9.39394	5.05051	8.55727
-9.39394	5.45455	8.86235
-9.39394	5.85859	16.9474
-9.39394	6.26263	12.3897
-9.39394	6.66667	8.91841
-9.39394	7.07071	26.1548
-9.39394	7.47475	5.94217
-9.39394	7.87879	0
-9.39394	8.28283	0.00765492
-9.39394	8.68687	10.9722
-9.39394	9.09091	2.97994
-9.39394	9.49495	0
-9.39394	9.89899	7.13634
-9.39394	10.303	16.8706
-9.39394	10.7071	12.7156
-9.39394	11.1111	0
-9.39394	11.5152	8.56426
-9.39394	11.9192	0
-9.39394	12.3232	13.2598
-9.39394	12.7273	15.0541
-9.39394	13.1313	4.19163
-9.39394	13.5354	5.45014
-9.39394	13.9394	0.0060826
-9.39394	14.3434	10.1831
-9.39394	14.7475	16.8798
-9.39394	15.1515	0.395421
-9.39394	15.5556	0
-9.39394	15.9596	19.1068
-9.39394	16.3636	23.2995
-9.39394	16.7677	7.08643
-9.39394	17.1717	10.351
-9.39394	17.5758	0.0382141
-9.39394	17.9798	0
-9.39394	18.3838	0.236885
-9.39394	18.7879	38.6759
-9.39394	19.1919	12.2371
-9.39394	19.596	14.0844
-9.39394	20	14.0844
-9.09091	-20	22.2076
-9.09091	-19.596	4.99233
-9.09091	-19.1919	40.3969
-9.09091	-18.7879	15.6144
-9.09091	-18.3838	5.31366
-9.09091	-17.9798	19.167
-9.09091	-17.5758	29.6276
-9.09091	-17.1717	31.1705
-9.09091	-16.7677	22.4627
-9.09091	-16.3636	10.3752
-9.09091	-15.9596	19.2844
-9.09091	-15.5556	3.4424
-9.09091	-15.1515	8.73664
-9.09091	-14.7475	0
-9.09091	-14.3434	10.203
-9.09091	-13.9394	15.1474
-9.09091	-13.5354	27.0208
-9.09091	-13.1313	48.1012
-9.09091	-12.7273	39.6982
-9.09091	-12.3232	5.69271
-9.09091	-11.9192	2.90273
-9.09091	-11.5152	12.2611
-9.09091	-11.1111	10.4118
-9.09091	-10.7071	19.5159
-9.09091	-10.303	1.33445
-9.09091	-9.89899	16.5674
-9.09091	-9.49495	16.8039
-9.09091	-9.09091	16.8938
-9.09091	-8.68687	7.30297
-9.09091	-8.28283	2.12895
-9.09091	-7.87879	15.4524
-9.09091	-7.47475	13.2011
-9.09091	-7.07071	8.79781
-9.09091	-6.66667	8.20146
-9.09091	-6.26263	6.92824
-9.09091	-5.85859	11.3148
-9.09091	-5.45455	25.6776
-9.09091	-5.05051	12.8056
-9.09091	-4.64646	25.8272
-9.09091	-4.24242	24.6524
-9.09091	-3.83838	19.4407
-9.09091	-3.43434	28.2731
-9.09091	-3.0303	57.7539
-9.09091	-2.62626	51.3274
-9.09091	-2.22222	113.042
-9.09091	-1.81818	124.149
-9.09091	-1.41414	132.469
-9.09091	-1.0101	209.639
-9.09091	-0.606061	160.848
-9.09091	-0.20202	162.585
-9.09091	0.20202	133.154
-9.09091	0.606061	173.885
-9.09091	1.0101	185.568
-9.09091	1.41414	147.562
-9.09091	1.81818	168.889
-9.09091	2.22222	76.043
-9.09091	2.62626	26.5908
-9.09091	3.0303	32.6485
-9.09091	3.43434	32.8638
-9.09091	3.83838	28.4933
-9.09091	4.24242	8.2607
-9.09091	4.64646	8.30923
-9.09091	5.05051	8.55727
-9.09091	5.45455	20.852
-9.09091	5.85859	9.916
-9.09091	6.26263	12.3897
-9.09091	6.66667	8.91892
-9.09091	7.07071	33.3858
-9.09091	7.47475	0.00011553
-9.09091	7.87879	9.04623e-05
