# 核反应率计算结果汇总
# 能谱文件: Spectrum.txt
# 截面文件目录: TENDL-2025_Ra226_Gamma_Data
# 计算时间: 2025-11-20T03:07:22
#================================================================================
# 产物名称	反应率 R (reactions/s)	积分值 (b*#/cm²*MeV)	数据点数
#================================================================================
rp078201.tot	0.000000e+00	0.000000e+00	53
rp078202.tot	0.000000e+00	0.000000e+00	53
rp078203.L00	0.000000e+00	0.000000e+00	53
rp078203.L02	0.000000e+00	0.000000e+00	53
rp078203.tot	0.000000e+00	0.000000e+00	53
rp078204.tot	0.000000e+00	0.000000e+00	53
rp078205.tot	0.000000e+00	0.000000e+00	53
rp078206.tot	0.000000e+00	0.000000e+00	53
rp078207.tot	0.000000e+00	0.000000e+00	53
rp078208.tot	0.000000e+00	0.000000e+00	53
rp079190.tot	0.000000e+00	0.000000e+00	53
rp079191.L00	0.000000e+00	0.000000e+00	53
rp079191.L04	0.000000e+00	0.000000e+00	53
rp079191.tot	0.000000e+00	0.000000e+00	53
rp079192.L00	0.000000e+00	0.000000e+00	53
rp079192.L15	0.000000e+00	0.000000e+00	53
rp079192.tot	0.000000e+00	0.000000e+00	53
rp079193.L00	0.000000e+00	0.000000e+00	53
rp079193.L04	0.000000e+00	0.000000e+00	53
rp079193.tot	0.000000e+00	0.000000e+00	53
rp079194.L00	0.000000e+00	0.000000e+00	53
rp079194.L03	0.000000e+00	0.000000e+00	53
rp079194.L08	0.000000e+00	0.000000e+00	53
rp079194.tot	0.000000e+00	0.000000e+00	53
rp079195.L00	0.000000e+00	0.000000e+00	53
rp079195.L04	0.000000e+00	0.000000e+00	53
rp079195.tot	0.000000e+00	0.000000e+00	53
rp079196.L00	0.000000e+00	0.000000e+00	53
rp079196.L03	0.000000e+00	0.000000e+00	53
rp079196.L54	0.000000e+00	0.000000e+00	53
rp079196.tot	0.000000e+00	0.000000e+00	53
rp079197.L00	0.000000e+00	0.000000e+00	53
rp079197.L04	0.000000e+00	0.000000e+00	53
rp079197.tot	0.000000e+00	0.000000e+00	53
rp079198.L00	0.000000e+00	0.000000e+00	53
rp079198.L51	0.000000e+00	0.000000e+00	53
rp079198.tot	0.000000e+00	0.000000e+00	53
rp079199.tot	0.000000e+00	0.000000e+00	53
rp079200.L00	0.000000e+00	0.000000e+00	53
rp079200.L11	0.000000e+00	0.000000e+00	53
rp079200.tot	0.000000e+00	0.000000e+00	53
rp079201.tot	0.000000e+00	0.000000e+00	53
rp079202.tot	0.000000e+00	0.000000e+00	53
rp079203.tot	0.000000e+00	0.000000e+00	53
rp079204.tot	0.000000e+00	0.000000e+00	53
rp079205.L00	0.000000e+00	0.000000e+00	53
rp079205.L01	0.000000e+00	0.000000e+00	53
rp079205.tot	0.000000e+00	0.000000e+00	53
rp079206.tot	0.000000e+00	0.000000e+00	53
rp079207.tot	0.000000e+00	0.000000e+00	53
rp079208.tot	0.000000e+00	0.000000e+00	53
rp079209.tot	0.000000e+00	0.000000e+00	53
rp079210.tot	0.000000e+00	0.000000e+00	53
rp080191.L00	0.000000e+00	0.000000e+00	53
rp080191.L03	0.000000e+00	0.000000e+00	53
rp080191.tot	0.000000e+00	0.000000e+00	53
rp080192.tot	0.000000e+00	0.000000e+00	53
rp080193.L00	0.000000e+00	0.000000e+00	53
rp080193.L03	0.000000e+00	0.000000e+00	53
rp080193.tot	0.000000e+00	0.000000e+00	53
rp080194.tot	0.000000e+00	0.000000e+00	53
rp080195.L00	0.000000e+00	0.000000e+00	53
rp080195.L03	0.000000e+00	0.000000e+00	53
rp080195.tot	0.000000e+00	0.000000e+00	53
rp080196.tot	0.000000e+00	0.000000e+00	53
rp080197.L00	0.000000e+00	0.000000e+00	53
rp080197.L04	0.000000e+00	0.000000e+00	53
rp080197.tot	0.000000e+00	0.000000e+00	53
rp080198.tot	0.000000e+00	0.000000e+00	53
rp080199.L00	0.000000e+00	0.000000e+00	53
rp080199.L07	0.000000e+00	0.000000e+00	53
rp080199.tot	0.000000e+00	0.000000e+00	53
rp080200.tot	0.000000e+00	0.000000e+00	53
rp080201.tot	0.000000e+00	0.000000e+00	53
rp080202.tot	0.000000e+00	0.000000e+00	53
rp080203.tot	0.000000e+00	0.000000e+00	53
rp080204.tot	0.000000e+00	0.000000e+00	53
rp080205.tot	0.000000e+00	0.000000e+00	53
rp080206.tot	0.000000e+00	0.000000e+00	53
rp080207.tot	0.000000e+00	0.000000e+00	53
rp080208.tot	0.000000e+00	0.000000e+00	53
rp080209.tot	0.000000e+00	0.000000e+00	53
rp080210.tot	0.000000e+00	0.000000e+00	53
rp080211.tot	0.000000e+00	0.000000e+00	53
rp080212.tot	0.000000e+00	0.000000e+00	53
rp080213.tot	0.000000e+00	0.000000e+00	53
rp080214.tot	0.000000e+00	0.000000e+00	53
rp081193.L00	0.000000e+00	0.000000e+00	53
rp081193.L02	0.000000e+00	0.000000e+00	53
rp081193.tot	0.000000e+00	0.000000e+00	53
rp081194.L00	0.000000e+00	0.000000e+00	53
rp081194.L04	0.000000e+00	0.000000e+00	53
rp081194.tot	0.000000e+00	0.000000e+00	53
rp081195.L00	0.000000e+00	0.000000e+00	53
rp081195.L02	0.000000e+00	0.000000e+00	53
rp081195.tot	0.000000e+00	0.000000e+00	53
rp081196.L00	0.000000e+00	0.000000e+00	53
rp081196.L06	0.000000e+00	0.000000e+00	53
rp081196.tot	0.000000e+00	0.000000e+00	53
rp081197.L00	0.000000e+00	0.000000e+00	53
rp081197.L02	0.000000e+00	0.000000e+00	53
rp081197.tot	0.000000e+00	0.000000e+00	53
rp081198.L00	0.000000e+00	0.000000e+00	53
rp081198.L07	0.000000e+00	0.000000e+00	53
rp081198.tot	0.000000e+00	0.000000e+00	53
rp081199.tot	0.000000e+00	0.000000e+00	53
rp081200.tot	0.000000e+00	0.000000e+00	53
rp081201.tot	0.000000e+00	0.000000e+00	53
rp081202.tot	0.000000e+00	0.000000e+00	53
rp081203.tot	0.000000e+00	0.000000e+00	53
rp081204.tot	0.000000e+00	0.000000e+00	53
rp081205.tot	0.000000e+00	0.000000e+00	53
rp081206.L00	0.000000e+00	0.000000e+00	53
rp081206.L45	0.000000e+00	0.000000e+00	53
rp081206.tot	0.000000e+00	0.000000e+00	53
rp081207.L00	0.000000e+00	0.000000e+00	53
rp081207.L02	0.000000e+00	0.000000e+00	53
rp081207.tot	0.000000e+00	0.000000e+00	53
rp081208.tot	0.000000e+00	0.000000e+00	53
rp081209.tot	0.000000e+00	0.000000e+00	53
rp081210.tot	0.000000e+00	0.000000e+00	53
rp081211.tot	0.000000e+00	0.000000e+00	53
rp081212.tot	0.000000e+00	0.000000e+00	53
rp081213.tot	0.000000e+00	0.000000e+00	53
rp081214.tot	0.000000e+00	0.000000e+00	53
rp081215.tot	0.000000e+00	0.000000e+00	53
rp081216.tot	0.000000e+00	0.000000e+00	53
rp081217.tot	0.000000e+00	0.000000e+00	53
rp082194.tot	0.000000e+00	0.000000e+00	53
rp082195.L00	0.000000e+00	0.000000e+00	53
rp082195.L02	0.000000e+00	0.000000e+00	53
rp082195.tot	0.000000e+00	0.000000e+00	53
rp082196.tot	0.000000e+00	0.000000e+00	53
rp082197.L00	0.000000e+00	0.000000e+00	53
rp082197.L02	0.000000e+00	0.000000e+00	53
rp082197.tot	0.000000e+00	0.000000e+00	53
rp082198.tot	0.000000e+00	0.000000e+00	53
rp082199.L00	0.000000e+00	0.000000e+00	53
rp082199.L01	0.000000e+00	0.000000e+00	53
rp082199.tot	0.000000e+00	0.000000e+00	53
rp082200.tot	0.000000e+00	0.000000e+00	53
rp082201.L00	0.000000e+00	0.000000e+00	53
rp082201.L04	0.000000e+00	0.000000e+00	53
rp082201.tot	0.000000e+00	0.000000e+00	53
rp082202.L00	0.000000e+00	0.000000e+00	53
rp082202.L14	0.000000e+00	0.000000e+00	53
rp082202.tot	0.000000e+00	0.000000e+00	53
rp082203.L00	0.000000e+00	0.000000e+00	53
rp082203.L06	0.000000e+00	0.000000e+00	53
rp082203.L51	0.000000e+00	0.000000e+00	53
rp082203.tot	0.000000e+00	0.000000e+00	53
rp082204.L00	0.000000e+00	0.000000e+00	53
rp082204.L21	0.000000e+00	0.000000e+00	53
rp082204.tot	0.000000e+00	0.000000e+00	53
rp082205.tot	0.000000e+00	0.000000e+00	53
rp082206.tot	0.000000e+00	0.000000e+00	53
rp082207.L00	0.000000e+00	0.000000e+00	53
rp082207.L03	0.000000e+00	0.000000e+00	53
rp082207.tot	0.000000e+00	0.000000e+00	53
rp082208.tot	0.000000e+00	0.000000e+00	53
rp082209.tot	0.000000e+00	0.000000e+00	53
rp082210.tot	0.000000e+00	0.000000e+00	53
rp082211.tot	0.000000e+00	0.000000e+00	53
rp082215.tot	0.000000e+00	0.000000e+00	53
rp082216.tot	0.000000e+00	0.000000e+00	53
rp082217.tot	0.000000e+00	0.000000e+00	53
rp082218.tot	0.000000e+00	0.000000e+00	53
rp082219.tot	0.000000e+00	0.000000e+00	53
rp082220.tot	0.000000e+00	0.000000e+00	53
rp083196.L00	0.000000e+00	0.000000e+00	53
rp083196.L02	0.000000e+00	0.000000e+00	53
rp083196.L03	0.000000e+00	0.000000e+00	53
rp083196.tot	0.000000e+00	0.000000e+00	53
rp083197.L00	0.000000e+00	0.000000e+00	53
rp083197.L01	0.000000e+00	0.000000e+00	53
rp083197.tot	0.000000e+00	0.000000e+00	53
rp083198.L00	0.000000e+00	0.000000e+00	53
rp083198.L03	0.000000e+00	0.000000e+00	53
rp083198.L04	0.000000e+00	0.000000e+00	53
rp083198.tot	0.000000e+00	0.000000e+00	53
rp083199.L00	0.000000e+00	0.000000e+00	53
rp083199.L01	0.000000e+00	0.000000e+00	53
rp083199.tot	0.000000e+00	0.000000e+00	53
rp083200.L00	0.000000e+00	0.000000e+00	53
rp083200.L01	0.000000e+00	0.000000e+00	53
rp083200.L02	0.000000e+00	0.000000e+00	53
rp083200.tot	0.000000e+00	0.000000e+00	53
rp083201.L00	0.000000e+00	0.000000e+00	53
rp083201.L01	0.000000e+00	0.000000e+00	53
rp083201.tot	0.000000e+00	0.000000e+00	53
rp083202.tot	0.000000e+00	0.000000e+00	53
rp083203.L00	0.000000e+00	0.000000e+00	53
rp083203.L06	0.000000e+00	0.000000e+00	53
rp083203.tot	0.000000e+00	0.000000e+00	53
rp083204.tot	0.000000e+00	0.000000e+00	53
rp083205.tot	0.000000e+00	0.000000e+00	53
rp083206.tot	0.000000e+00	0.000000e+00	53
rp083207.tot	0.000000e+00	0.000000e+00	53
rp083208.tot	0.000000e+00	0.000000e+00	53
rp083209.tot	0.000000e+00	0.000000e+00	53
rp083210.L00	0.000000e+00	0.000000e+00	53
rp083210.L02	0.000000e+00	0.000000e+00	53
rp083210.tot	0.000000e+00	0.000000e+00	53
rp083211.tot	0.000000e+00	0.000000e+00	53
rp083212.L00	0.000000e+00	0.000000e+00	53
rp083212.L05	0.000000e+00	0.000000e+00	53
rp083212.L12	0.000000e+00	0.000000e+00	53
rp083212.tot	0.000000e+00	0.000000e+00	53
rp083213.tot	0.000000e+00	0.000000e+00	53
rp083214.L00	0.000000e+00	0.000000e+00	53
rp083214.L09	0.000000e+00	0.000000e+00	53
rp083214.tot	0.000000e+00	0.000000e+00	53
rp083216.L00	0.000000e+00	0.000000e+00	53
rp083216.L01	0.000000e+00	0.000000e+00	53
rp083216.tot	0.000000e+00	0.000000e+00	53
rp083218.tot	0.000000e+00	0.000000e+00	53
rp083219.tot	0.000000e+00	0.000000e+00	53
rp083220.tot	0.000000e+00	0.000000e+00	53
rp083221.tot	0.000000e+00	0.000000e+00	53
rp084197.L00	0.000000e+00	0.000000e+00	53
rp084197.L02	0.000000e+00	0.000000e+00	53
rp084197.tot	0.000000e+00	0.000000e+00	53
rp084198.tot	0.000000e+00	0.000000e+00	53
rp084199.L00	0.000000e+00	0.000000e+00	53
rp084199.L02	0.000000e+00	0.000000e+00	53
rp084199.tot	0.000000e+00	0.000000e+00	53
rp084200.tot	0.000000e+00	0.000000e+00	53
rp084201.L00	0.000000e+00	0.000000e+00	53
rp084201.L03	0.000000e+00	0.000000e+00	53
rp084201.tot	0.000000e+00	0.000000e+00	53
rp084202.tot	0.000000e+00	0.000000e+00	53
rp084203.L00	0.000000e+00	0.000000e+00	53
rp084203.L05	0.000000e+00	0.000000e+00	53
rp084203.tot	0.000000e+00	0.000000e+00	53
rp084204.tot	0.000000e+00	0.000000e+00	53
rp084205.tot	0.000000e+00	0.000000e+00	53
rp084206.tot	0.000000e+00	0.000000e+00	53
rp084207.L00	0.000000e+00	0.000000e+00	53
rp084207.L14	0.000000e+00	0.000000e+00	53
rp084207.tot	0.000000e+00	0.000000e+00	53
rp084208.tot	0.000000e+00	0.000000e+00	53
rp084209.tot	0.000000e+00	0.000000e+00	53
rp084210.tot	0.000000e+00	0.000000e+00	53
rp084211.L00	0.000000e+00	0.000000e+00	53
rp084211.L14	0.000000e+00	0.000000e+00	53
rp084211.tot	0.000000e+00	0.000000e+00	53
rp084212.L00	0.000000e+00	0.000000e+00	53
rp084212.L57	0.000000e+00	0.000000e+00	53
rp084212.tot	0.000000e+00	0.000000e+00	53
rp084213.tot	0.000000e+00	0.000000e+00	53
rp084214.tot	0.000000e+00	0.000000e+00	53
rp084215.tot	0.000000e+00	0.000000e+00	53
rp084219.tot	0.000000e+00	0.000000e+00	53
rp084220.tot	0.000000e+00	0.000000e+00	53
rp084221.tot	0.000000e+00	0.000000e+00	53
rp084222.tot	0.000000e+00	0.000000e+00	53
rp085199.tot	0.000000e+00	0.000000e+00	53
