Y	Z	Value
-8.18182	-10	0
-7.87879	-10	0
-7.57576	-10	0
-4.54545	-10	0
-10	-9.79798	0
-8.78788	-9.79798	0
-7.87879	-9.79798	0
-7.57576	-9.79798	0
-7.27273	-9.79798	0
-7.87879	-9.59596	0
-7.57576	-9.59596	0
-7.27273	-9.59596	0
-4.24242	-9.59596	0
-3.63636	-9.59596	0
-3.33333	-9.59596	0
-10	-9.39394	0
-7.57576	-9.39394	0
-7.27273	-9.39394	0
-3.33333	-9.39394	0
-3.0303	-9.39394	0
-10	-9.19192	0
-9.69697	-9.19192	0
-9.39394	-9.19192	0
-6.66667	-9.19192	0
-3.33333	-9.19192	0
-3.0303	-9.19192	0
-2.72727	-9.19192	0
-10	-8.9899	0
-9.39394	-8.9899	0
-9.09091	-8.9899	0
-8.78788	-8.9899	0
-6.36364	-8.9899	0
-6.06061	-8.9899	0
-3.0303	-8.9899	0
-2.72727	-8.9899	0
-9.09091	-8.78788	0
-8.78788	-8.78788	0
-8.48485	-8.78788	0
-2.72727	-8.78788	0
-2.42424	-8.78788	0
-8.78788	-8.58586	0
-8.48485	-8.58586	0
-8.18182	-8.58586	0
-2.42424	-8.58586	0
-2.12121	-8.58586	0
-9.39394	-8.38384	0
-7.87879	-8.38384	0
-5.15152	-8.18182	0
-10	-7.77778	0
-8.78788	-7.77778	0
-6.66667	-7.77778	0
-10	-7.57576	0
-9.69697	-7.57576	0
-9.39394	-7.57576	0
-7.27273	-7.57576	0
-6.9697	-7.57576	0
-6.66667	-7.57576	0
-6.36364	-7.57576	0
-4.24242	-7.57576	0
-9.69697	-7.37374	0
-9.39394	-7.37374	0
-9.09091	-7.37374	0
-8.78788	-7.37374	0
-6.36364	-7.37374	0
-3.93939	-7.37374	0
-3.63636	-7.37374	0
-2.42424	-7.37374	0
-9.09091	-7.17172	0
-8.78788	-7.17172	0
-8.48485	-7.17172	0
-8.18182	-7.17172	0
-6.06061	-7.17172	0
-5.15152	-7.17172	0
-2.42424	-7.17172	0
