Parent,Nuclide,Atoms_EOB,Atoms_after_cooling,Activity_EOB_Bq,Activity_after_cooling_Bq
Cr51,"Nuclide: V-51, decay dataset: icrp107_ame2020_nubase2020",-2639.1143144586563,-5213.014339799763,-0.0,-0.0
Cr52,"Nuclide: Cr-52, decay dataset: icrp107_ame2020_nubase2020",0.0,0.0,0.0,0.0
Cr54,"Nuclide: Cr-54, decay dataset: icrp107_ame2020_nubase2020",0.0,0.0,0.0,0.0
Cr55,"Nuclide: Cr-55, decay dataset: icrp107_ame2020_nubase2020",5055622.350076686,5.5613897336444195e-118,16701.412534226954,1.8372231502576756e-120
Cr55,"Nuclide: Mn-55, decay dataset: icrp107_ame2020_nubase2020",-5055622.350076687,-5055622.350076687,-0.0,-0.0
Cr56,"Nuclide: Cr-56, decay dataset: icrp107_ame2020_nubase2020",27868314.912943836,2.9386107542212343e-66,54199.89873418545,5.71517889745113e-69
Cr56,"Nuclide: Mn-56, decay dataset: icrp107_ame2020_nubase2020",-28980844.508967895,-45775.97261702557,-2163.7122052077834,-3.4176378340550597
Cr56,"Nuclide: Fe-56, decay dataset: icrp107_ame2020_nubase2020",1112529.5960240588,1158305.5686410842,0.0,0.0
Mn51,"Nuclide: Mn-51, decay dataset: icrp107_ame2020_nubase2020",29698076.726962637,0.01230198557197549,7426.096014194472,3.076149572331867e-06
Mn51,"Nuclide: Cr-51, decay dataset: icrp107_ame2020_nubase2020",-29732511.092329554,-28997800.764914393,-8.610420169749826,-8.397650901710067
Mn51,"Nuclide: V-51, decay dataset: icrp107_ame2020_nubase2020",34434.36536691561,29032235.117979325,0.0,0.0
Mn52,"Nuclide: Mn-52, decay dataset: icrp107_ame2020_nubase2020",91094.29788348234,80472.83562622627,0.13071138582308117,0.11547062890008133
Mn52,"Nuclide: Cr-52, decay dataset: icrp107_ame2020_nubase2020",-91094.29788348234,-171567.1335097086,-0.0,-0.0
Mn53,"Nuclide: Mn-53, decay dataset: icrp107_ame2020_nubase2020",0.0004868715638884366,0.00048687156363871436,2.890303537516924e-18,2.890303536034453e-18
Mn53,"Nuclide: Cr-53, decay dataset: icrp107_ame2020_nubase2020",-0.0004868715638884366,-0.000973743127527151,-0.0,-0.0
Mn54,"Nuclide: Mn-54, decay dataset: icrp107_ame2020_nubase2020",1640.0624366831187,1636.4242741296803,4.215513671769974e-05,4.206162366818951e-05
