parent_nuclide,parent_original,production_rate,nuclide,original_nuclide,atom_number_after_irradiation,atom_number_after_cooling,activity_after_cooling_Bq,is_stable,decay_constant,half_life,half_life_seconds,cooling_time_hours
Y83,Y83,2.44e-08,Kr83,Kr-83,,,0.0,True,0.0,稳定,inf,240.0
Y87,Y87,4.87e-08,Y87,Y87,55156703753689.94,6858749377377.803,16548742.666028626,False,2.412793026176362e-06,3.33 天,287280.0,240.0
Y87,Y87,4.87e-08,Sr87m,Sr-87m,1.1598365167636252e+37,250794044259.51178,17153856.787024543,False,6.839818241167804e-05,2.81 小时,10134.0,240.0
Y87,Y87,4.87e-08,Sr87,Sr-87,,,0.0,True,0.0,稳定,inf,240.0
Y87,Y87,4.87e-08,Rb87,Rb-87,393051863448.3995,393051863448.248,1.7536817899869358e-07,False,4.461705828339974e-19,49262667139.73 年,1.5535474709184e+18,240.0
Y88,Y88,6.33e-07,Y88,Y88,1652493955324156.0,1548509617950542.5,116483595.06611021,False,7.522303621224945e-08,106.65 天,9214560.0,240.0
Y88,Y88,6.33e-07,Sr88,Sr-88,,,0.0,True,0.0,稳定,inf,240.0
Y89,Y89,7.97e-06,Y89,Y89,2.148973416e+16,2.148973416e+16,0.0,True,0.0,稳定,inf,240.0
Y90,Y90,2.62e-05,Y90,Y90,2.5189059455187904e+16,1879795318456561.0,5646450099.74844,False,3.0037579327437396e-06,2.67 天,230759.99999999997,240.0
Y90,Y90,2.62e-05,Zr90,Zr-90,,,0.0,True,0.0,稳定,inf,240.0
Y91,Y91,9.2e-05,Y91,Y91,2.3393209830800214e+17,2.077975832075569e+17,28491946004.697025,False,1.3711394312145624e-07,58.51 天,5055264.0,240.0
Y91,Y91,9.2e-05,Zr91,Zr-91,,,0.0,True,0.0,稳定,inf,240.0
Y92,Y92,0.000181,Y92,Y92,1.03852715265823e+16,4.05139502488671e-05,2.2035569984579505e-09,False,5.439008008160274e-05,3.54 小时,12744.0,240.0
Y92,Y92,0.000181,Zr92,Zr-92,,,0.0,True,0.0,稳定,inf,240.0
Y93,Y93,0.000355,Y93,Y93,5.857497544691133e+16,4685303815.948644,88616.16268531857,False,1.891364277886775e-05,10.18 小时,36648.0,240.0
Y93,Y93,0.000355,Zr93,Zr-93,9.571964338111553e+17,9.57196421938328e+17,13741.698138127877,False,1.4356194635893918e-14,1531015.25 年,48282096902400.0,240.0
Y93,Y93,0.000355,Nb93m,Nb-93m,16659788705.225994,16640199168.15099,22.659739937889892,False,1.3617469183457963e-09,16.14 年,509013217.6704,240.0
Y93,Y93,0.000355,Nb93,Nb-93,,,0.0,True,0.0,稳定,inf,240.0
Y94,Y94,0.000429,Y94,Y94,2167123528204398.5,3.362707908330507e-217,2.077407759096187e-220,False,0.0006177782357931777,18.70 分钟,1122.0,240.0
Y94,Y94,0.000429,Zr94,Zr-94,,,0.0,True,0.0,稳定,inf,240.0
Y95,Y95,0.000518,Y95,Y95,1441291259661412.2,0.0,0.0,False,0.001121597379546837,10.30 分钟,618.0,240.0
Y95,Y95,0.000518,Zr95,Zr-95,1.3239049544529984e+18,1.1880764210676733e+18,148853492371.4373,False,1.2528949294159802e-07,64.03 天,5532364.8,240.0
Y95,Y95,0.000518,Nb95,Nb-95,2.1613536664434906e+17,1.772944516522451e+17,40649060185.474686,False,2.292742937337145e-07,34.99 天,3023222.4,240.0
Y95,Y95,0.000518,Nb95m,Nb-95m,4824945599052717.0,707317359087924.9,1571877991.9876037,False,2.2223093662150703e-06,3.61 天,311904.0,240.0
Y95,Y95,0.000518,Mo95,Mo-95,,,0.0,True,0.0,稳定,inf,240.0
Zr85,Zr85,4.06e-09,Zr85,Zr85,8620517704.729004,0.0,0.0,False,0.0014697777365562876,7.86 分钟,471.6,240.0
